r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,b
1616.7,1840.7,1984.8,2084.7,2183.6,2360.5,2534.6,2757.7,2887.9,2994.1,3166.9,3302.7,3475.5,3612.6,3714.9,3814.9,3991.9,4171.5,4380.9,4501.4,4606.4,4779.5,4912.9,5067.6,5211.6,5310.7,5405.6,5588.6,5763.3,5978.2,6101.8,6208.3,6369.8,6472.9,6642.7,6770.7,6925.2,7070.5,7172.3,7273.7,7447.1,7624.9,7841.5,7958.7,8065,8241.1,8385,8546.2,8686.9,8786.9,8883.5,9059.8,9248.3,9471.6,9589.9,9695,9856.1,9958.2,10110,10214,10384,10552,10689,10829,10932,11029,11204,11381,11589,11798,11881,11981,12163,12345,12553,12778,12883,12980,13171,13354,13574,13697,13803,13951,14053,14238,14374,14551,14700,14799,14899,15080,15265,15496,15823
1690.7,1911.3,2053.5,2156.9,2246.8,2463.3,2625.3,2814.7,2938.9,3075.4,3242.2,3373.8,3548.8,3690.1,3790.7,3879.8,4111.3,4262.5,4442.4,4552.2,4685.2,4852.6,4976.8,5145.5,5282.9,5383.6,5466.8,5700.2,5855.9,6044.3,6150.6,6292.2,6421.5,6561.5,6712.3,6840.5,7010.2,7143.2,7245.4,7331.8,7565.6,7713,7907.8,8011.5,8144.9,8316.2,8457.9,8624.4,8760,8864.4,8952,9179.7,9339.3,9536.5,9647.1,9776.5,9908.3,10045,10165,10298,10459,10588,10769,10906,11008,11096,11310,11474,11663,11852,11961,12047,12276,12439,12626,12851,12960,13046,13283,13440,13638,13751,13886,14004,14141,14315,14448,14631,14772,14881,14971,15201,15365,15566,15882
