u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,n,e,t,d,x,n,r,n,a,b,l,e,t,d,x,d,x,s,r
1230.4,1415.2,1613.2,1809.7,1971.5,2198.5,2336.8,2439.1,2535.4,2707.3,2894.7,3115.5,3249.2,3357.7,3538.5,3670.5,3838,3981.5,4081.5,4175,4353.8,4531.3,4743.3,4868.9,4973.8,5150.4,5287.8,5455,5592.9,5690.8,5787.3,5962,6139,6353.4,6481.9,6589,6741.7,6846.5,7012.3,7145.9,7311.4,7449.3,7553.7,7647.8,7826.7,8009,8219.1,8339.9,8447.9,8609.6,8748.6,8910.5,9052.8,9156.7,9253.5,9427.7,9607.3,9818.9,9943.9,10051,10204,10307,10476,10616,10784,10926,11030,11126,11301,11484,11713,11842,11951,12107,12212,12379,12514,12683,12828,12935,13031,13229,13414,13617,13824,13918,14017,14196,14388,14623,14750,14859,15017,15123,15309,15448,15622,15764,15865,15958,16199,16362,16581,16704,16810,17124,17240,17449,17544,17641,17824,18015,18254,18379,18490,18646,18749,18941,19079
1270.2,1467.6,1663.8,1856.7,2063.9,2267.4,2406.9,2511.8,2600.1,2828,2990.3,3178,3307.5,3444.7,3610.3,3740.6,3916.9,4052.3,4151.2,4242.5,4478.5,4625.2,4809.6,4922.7,5063.5,5223.3,5361.9,5536,5667.8,5767,5858.4,6085.1,6232.5,6415.6,6538.4,6680,6798.4,6926,7087.2,7217.2,7391.7,7526.6,7624,7719.2,7952.8,8101.9,8277.7,8398.4,8535.8,8688.4,8823,8992.9,9131.4,9229.6,9319.5,9552.2,9699.3,9889.2,10006,10141,10260,10389,10552,10694,10868,11006,11107,11197,11423,11577,11783,11900,12031,12162,12298,12456,12592,12769,12909,13012,13103,13350,13499,13691,13887,13999,14093,14323,14484,14690,14811,14949,15078,15214,15387,15530,15701,15838,15936,16026,16279,16458,16652,16756,16899,17185,17310,17515,17621,17712,17943,18107,18322,18439,18578,18702,18837,19018,19155
