u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1351.8,1543.5,1728.1,1969.9,2150.1,2397.6,2547.8,2654.9,2755.8,2948.9,3137.2,3337.2,3475.5,3586.9,3750.5,3890.6,4065.3,4207.2,4311.8,4408.2,4595.1,4771.4,4995.4,5122.1,5229.1,5396.2,5533.7,5696.4,5841.4,5944.1,6042.5,6226.2,6422.5,6640.2,6772.5,6882.1,7063.2,7193.9,7371.9,7515.8,7618.4,7713.3,7884.1,8070.2,8291.2,8423.8,8532.1,8692.7,8795.9,8969,9105.8,9288,9431.9,9529.9,9628.6,9807.4,9990,10212,10341,10449,10613,10714,10897,11030,11196,11339,11445,11541,11712,11896,12117,12257,12367,12525,12630,12801,12939,13114,13254,13355,13454,13638,13828,14040,14179,14289,14451,14554,14728,14873,15042,15192,15298,15394,15575,15758,15990,16125,16235,16393,16497,16685,16824,16990,17138,17240,17338,17514,17704,17937,18080,18201,18367,18473,18660,18815,19001,19146,19255,19353,19553,19739,19970,20111,20218,20387,20495,20677,20817,21012,21155,21256,21356
1401.5,1589.9,1783.4,2016,2243.9,2477.5,2628.2,2736.2,2822.6,3063.8,3205,3405,3538,3672.5,3827.8,3968.3,4143.9,4287.2,4389,4488,4716.9,4880.1,5063.5,5184,5318.6,5473.3,5611.2,5782.7,5920.3,6021.3,6120.1,6351,6521.9,6708.3,6834.7,6987.1,7139.8,7269.6,7458.8,7589.6,7694.7,7783.7,8011.5,8178.3,8361,8484.8,8622,8760.6,8891.9,9050.2,9188.1,9376.4,9508,9608.4,9698.4,9935.3,10089,10281,10404,10540,10675,10818,10979,11104,11282,11421,11529,11617,11847,11999,12188,12321,12457,12586,12718,12883,13018,13201,13336,13437,13536,13761,13925,14112,14242,14386,14516,14655,14813,14954,15128,15274,15380,15471,15698,15865,16065,16186,16330,16455,16589,16763,16911,17079,17218,17325,17408,17639,17806,18013,18143,18299,18430,18561,18739,18908,19083,19229,19336,19434,19676,19835,20045,20173,20308,20456,20594,20754,20892,21089,21234,21338,21432
