u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1035.2,1205.5,1396.1,1561.3,1722.1,1977.4,2127.2,2232.9,2329.5,2512.3,2695.9,2912.2,3054.2,3162.6,3339.5,3472.9,3633.7,3775.8,3877.9,3974.7,4156.4,4337.4,4558.8,4688.1,4798.9,4968.2,5102.6,5268.1,5405.3,5510.2,5606.9,5785.3,5964.4,6182.4,6304.7,6411.8,6568.3,6671.3,6850,7005.6,7197.9,7338.3,7440.7,7536.5,7709.6,7891.3,8116.7,8237.8,8343.2,8501.1,8605.2,8772.3,8903.1,9063.6,9203.8,9305.6,9400.3,9579,9755.2,9977.5,10100,10208,10360,10464,10626,10761,10926,11069,11170,11263,11448,11629,11827,12033,12117,12214,12398,12580,12982,13186,13300,13395,13569,13750,13973,14096,14201,14349,14454,14630,14765,14945,15090,15191,15289,15465,15648,15877,16008,16113,16266,16371,16545,16686,16848,16995,17100,17196,17384,17568,17773,17985,18077,18175,18371,18557,18783,18911,19018,19177,19278,19453,19591,19759,19910,20012,20109,20311,20501,20734,20867,20975,21130,21237,21417
1067.8,1251.2,1447.4,1614.2,1807.7,2051.1,2204.4,2306.1,2390.9,2625.6,2791,2975.6,3110.6,3251.6,3415.1,3543.2,3716.1,3851.5,3954.6,4048.2,4273.6,4429.7,4621.8,4742.6,4883.1,5040.8,5181,5346.4,5482.2,5586.4,5680.6,5908.8,6058.1,6247.4,6363.2,6501.6,6618.6,6759.9,6910.2,7080.4,7281.9,7416.7,7517.4,7607.7,7834.1,7985,8182.5,8289.2,8433.7,8565,8702.7,8846.2,8984.7,9149.3,9279.7,9379.5,9470.1,9706.1,9853,10046,10156,10290,10420,10560,10703,10844,11006,11145,11244,11341,11570,11726,11917,12085,12195,12295,12518,12667,13061,13267,13373,13463,13694,13842,14040,14162,14293,14409,14546,14706,14841,15025,15168,15268,15365,15590,15741,15949,16069,16205,16324,16464,16623,16760,16929,17072,17176,17277,17498,17663,17845,18050,18156,18250,18490,18648,18859,18969,19106,19229,19363,19532,19670,19841,19984,20087,20180,20431,20590,20805,20925,21066,21193,21324,21495
