u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,s,d,x,d,x,d,x,s,r,n,n,a,b,l,e,s,d,x,d,x,d,x,s,r,n,n,u,r,n,l,u,r,n,n,a,b
1029.1,1191.7,1425.2,1619,1763.3,1988.4,2134.9,2235.8,2329.6,2501.7,2680.6,2886.6,3011.3,3116.8,3277.5,3409.7,3577.6,3711.8,3809.7,3900.5,4088.8,4262.7,4466.3,4586.8,4688.2,4865.1,4996.2,5153.8,5282.4,5719.3,5845.2,6034.6,6166.8,6263.9,6357.3,6534.6,6703.6,6913.5,7029.4,7130.8,7279.5,7377,7543.9,7665.4,7816.5,7957.8,8054.3,8147.7,8315.6,8491.9,8708.5,8824.1,8926,9070.2,9166.9,9323.8,9453,9617.1,9773.3,9873.5,9968.1,10145,10322,10527,10719,10796,10891,11087,11262,11450,11662,11751,11847,12019,12199,12405,12526,12626,12776,12876,13033,13135,13305,13434,13599,13741,13840,13935,14118,14295,14520,14647,14752,14904,15010,15185,15288,15465,15600,15764,15905,16005,16101,16289,16469,16686,16802,16909,17063,17166,17326,17426,17615,17747,17918,18068,18540,18666,18871,19168,19341,19480,19713,19858,19957,20049
1059.9,1242.3,1471,1664.4,1841.8,2069.3,2207.4,2305.2,2394.4,2614.6,2764.7,2949.2,3071.2,3205.3,3348.4,3488.7,3653.2,3784.2,3881.5,3969.2,4208.1,4354.2,4531.5,4642.6,4776.4,4936.6,5068.3,5230.7,5346.1,5770.4,5919.6,6115.5,6244.8,6338.3,6422.8,6655.9,6799.4,6977.5,7082.2,7210.1,7328.6,7458.3,7615.4,7739.7,7901,8031.8,8132.8,8213.9,8430.2,8584.5,8774.8,8875.3,9004.2,9120.8,9244.6,9396.3,9526.6,9699.6,9846,9948.5,10034,10255,10417,10598,10769,10870,10958,11198,11347,11527,11725,11829,11915,12137,12289,12472,12581,12707,12835,12958,13085,13217,13374,13502,13677,13815,13919,13996,14238,14385,14590,14705,14840,14962,15090,15235,15368,15535,15667,15844,15980,16082,16163,16401,16555,16750,16859,16992,17120,17243,17378,17506,17688,17822,18001,18121,18575,18744,18910,19199,19392,19570,19793,19930,20034,20119
