u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e
1274.4,1443.1,1630.8,1804.7,1980.1,2262.1,2410.1,2512.3,2609.8,2798.5,2985.1,3202.3,3334.3,3438.2,3606.9,3738.2,3909.8,4051.9,4152.8,4250.1,4418.7,4599.2,4810.2,4929.9,5038.6,5196.3,5296.1,5463.5,5597.5,5758.5,5903,6003.9,6100.5,6273.7,6451.8,6665.8,6786.7,6894.6,7080.2,7212.9,7374.5,7516.9,7615,7714.3,7894.8,8073.2,8294.3,8422.3,8530.2,8697.5,8803.5,8971.4,9071.9,9240.8,9373.3,9530.9,9676.2,9776.2,9874.8,10060,10241,10458,10646,10734,10829,11005,11184,11420,11544,11654,11813,11918,12090,12228,12390,12534,12641,12737,12912,13096,13306,13511,13600,13697,13870,14053,14293,14413,14521,14679,14782,14961,15100,15275,15421,15526,15623,15822,16011,16248,16375,16484,16659,16764,16965,17118,17303,17455,17560,17659,17844,18029,18257,18383,18494,18667,18770,18933,19038,19221,19361,19551,19703,19811,19907,20101,20290
1318.1,1477,1672.4,1849.8,2071.7,2339.6,2483.8,2587.6,2674.2,2911,3078.4,3267.1,3391.3,3530.7,3683.5,3814.7,3989.3,4126.9,4226.2,4312.3,4539.1,4691.1,4876.6,4985,5125,5250,5382.9,5539,5676.6,5842.9,5978.2,6080.4,6165.1,6394.3,6542.9,6732.5,6843.2,6980.2,7162.2,7285,7459.2,7592.4,7692.5,7784,8018.6,8170,8368.8,8479,8625,8754.8,8889.6,9028.4,9158.9,9318.8,9449.1,9618,9753.3,9852.4,9943.5,10181,10335,10521,10705,10811,10901,11126,11280,11489,11602,11747,11872,12003,12168,12311,12471,12613,12716,12808,13032,13191,13389,13573,13678,13769,13990,14148,14366,14475,14613,14738,14871,15039,15184,15354,15499,15604,15698,15948,16109,16322,16436,16575,16719,16847,17043,17201,17381,17536,17640,17727,17960,18123,18325,18441,18579,18723,18854,18994,19130,19297,19437,19637,19778,19886,19983,20217,20394
