r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s
1583.9,1828.6,1964.4,2067.8,2167.1,2353.9,2529.6,2744,2875.1,2981.4,3161,3291.9,3458.4,3599.9,3697,3794.7,3979.2,4155.4,4367.1,4499.7,4608,4795.8,4932.3,5093.3,5231.2,5330.9,5428.5,5598.3,5774.5,5975.4,6182.2,6274.5,6375.8,6563.3,6738.1,6949.7,7073.8,7177.2,7325.9,7426,7598.5,7730.7,7887.5,8026.2,8125.2,8224.2,8394.9,8572.4,8801.5,8922.8,9026.9,9179.5,9280.5,9449.5,9579.5,9733.8,9876.2,9974.7,10071,10257,10432,10641,10842,10932,11028,11207,11386,11610,11739,11846,11997,12097,12280
1646.8,1886.8,2034.7,2136.1,2224.5,2448.3,2617.3,2798.3,2925.1,3061.1,3233.5,3357.3,3532.4,3671.2,3771.9,3857.9,4084,4245.8,4432.4,4548.1,4686.2,4869.2,4997.2,5171.8,5304.8,5404,5491.8,5708.5,5863.2,6042,6245.5,6352.1,6436.6,6666,6832.1,7015.1,7123.8,7255.2,7374.3,7504.6,7671.1,7798.6,7968.2,8101.2,8202.2,8290.8,8496.1,8665.5,8866.4,8975.2,9105.1,9230.8,9363.2,9523.7,9648.6,9817,9952.6,10049,10135,10364,10522,10712,10902,11009,11093,11317,11479,11681,11789,11925,12051,12177,12351
