u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l
1173.3,1354.3,1534.9,1711.6,1988.4,2135.3,2232.9,2329.8,2516.9,2700.7,2910.4,3036.5,3144.4,3307.6,3448.5,3611.2,3753,3856,3953.5,4128.8,4312,4527.7,4652.7,4758.3,4938.7,5077.4,5259.8,5400.7,5508,5612.4,5790.3,5975.3,6198.2,6328.2,6436.2,6616.4,6776.1,6939.7,7083.1,7187,7287.5,7466,7650.5,7867.7,7996.6,8104.7,8261.4,8365.4,8539.4,8679,8843.8,8986.6,9087.4,9187.9,9367.6,9554.8,9780.6,9904.5,10012,10187,10328,10500,10653,10758,10858,11032
1215.8,1402.7,1584.8,1814.2,2071.1,2210.1,2305.3,2389.7,2631.2,2797.2,2973,3096,3226.9,3384.9,3527.2,3689.3,3830,3932.9,4015.9,4255.5,4407.4,4590.7,4714.3,4847.9,5017.6,5158.9,5340.3,5481,5587.3,5677.4,5915.2,6075.6,6261,6395,6522.1,6683.3,6845.3,7022.1,7162.2,7262.5,7360.1,7593.9,7743.1,7933.9,8052.9,8193.6,8325.1,8447.4,8615.6,8759.2,8927.6,9068.6,9171.3,9264.1,9492.5,9651.5,9847.7,9965.7,10103,10267,10404,10588,10733,10835,10924,11153
