u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,d
1035.7,1232.8,1557.5,1715.8,1981.8,2123.1,2224.8,2318.7,2509.7,2690,2897.5,3030,3134.2,3314.1,3436,3647.3,3785.6,3883.2,3978.7,4153.6,4330.7,4539.7,4661.3,4765.3,4923.5,5025.9,5202,5332.5,5488.9,5625.6,5725.4,5820.1,5999.2,6182,6385.1,6508.9,6612.1,6768,6867.4,7038.3,7172.2,7329.5,7466.9,7567.9,7665,7838,8021.2,8247,8381.5,8482.4,8647.7,8753.4,8935.2,9066.7,9231.8,9369.7,9470.5,9568.2,9756,9930.2,10139,10362,10452,10584
1085.6,1271.2,1594.5,1789.4,2054.7,2193.9,2295.3,2381.1,2620.4,2786.6,2965,3087,3226,3381.4,3531.2,3724.9,3856.5,3958.4,4047.4,4273,4423.8,4604.7,4720.6,4856.7,4976.8,5115.7,5271.4,5413.6,5565.1,5701.8,5801.2,5890,6118,6246.2,6458,6570.8,6699,6822.5,6962.4,7112.7,7246.7,7415.3,7547.5,7648.8,7732.7,7964.3,8122.4,8315.3,8437,8575.8,8707.1,8847,9011.7,9153.4,9316.8,9448.3,9549.3,9637.7,9874.7,10033,10222,10425,10530,10632
