r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1318.9,1621.1,1769.1,1982.3,2122,2222.4,2315.4,2498.4,2666.7,2879.8,3003.5,3110.6,3289.1,3423.4,3586.2,3723.3,3826.8,3927.3,4105.7,4280.2,4476.8,4668.2,4757.4,4853.3,5023.1,5205.1,5411.5,5529.8,5634.6,5787.4,5886,6055.3,6186.4,6340,6479.7,6580.9,6677.4,6846.2,7019.4,7227.7,7418.9,7527.6,7623.2,7798.1,7979.2,8182.1,8299.9,8405.1,8555.7,8654.8,8822.4,8954.5,9109,9246.4,9344,9440.7,9611.7,9791.1,9997.8,10200,10287,10385,10550,10732,10944,11069,11176,11326,11426,11596,11729,11892,12031,12131,12229,12397,12579,12797,12918,13025,13169,13271,13441
1390.1,1661.1,1843.7,2057.2,2195.6,2298.7,2377.5,2597.9,2756.8,2942.4,3053.5,3189.1,3357.9,3490,3662.2,3803.9,3905.4,3992.2,4212.6,4368.2,4546,4728.4,4836.6,4918.6,5133.1,5291.1,5477.2,5582.2,5714.3,5834.5,5970.6,6127.9,6219.1,6417.1,6556.3,6652.1,6742.1,6963.7,7112,7297,7471,7607.2,7690.8,7916.6,8073.1,8247,8355.7,8485.2,8607.1,8738.8,8895.3,9026.3,9189.1,9318.2,9419.1,9508.9,9724.7,9883.8,10078,10264,10368,10453,10667,10822,11017,11122,11263,11378,11508,11673,11804,11975,12110,12210,12295,12516,12671,12864,12974,13109,13223,13353,13513
