u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1816.2,1962.8,2188.4,2327.8,2424.6,2515.1,2699,2876.8,3082.3,3210.9,3314.7,3482,3607.2,3754.9,3901.7,4001.2,4092.5,4278,4450.2,4656.6,4785,4889.5,5040.6,5140.7,5296.1,5428.7
1857,2052.3,2262.5,2400,2500.1,2579.8,2814.6,2966.4,3151,3267.3,3394.4,3554.5,3688.2,3839.3,3979.2,4073.1,4164.3,4394.5,4535.8,4723.6,4842.5,4978.5,5096.1,5226.8,5366.2,5503.2
