u,u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l
1143.8,1307.2,1484.3,1661.5,1831.2,1982.2,2277.4,2424.2,2661.8,2808.5,2907.6,3003.8,3188.7,3375.4,3587.2,3717,3820.1,4001.2,4136.4,4300.4,4441,4539.9,4636.9,4816,4996.7,5209,5338,5444.8,5632.8,5761,5919.2,6061.5,6159.5,6251.9,6434.9,6610.9,6833.4,6958.3,7063.7,7224.5,7328.8,7489.1,7622.6,7785.7,7923.2,8022,8114.5,8292.9,8476.3,8697.8,8820.9,8925.6,9083,9185.7,9335.1,9441.6,9613.7,9744.4,9903.5,10047,10147,10240,10433,10614,10831,10952,11057,11217,11321,11508,11640,11802,11943,12044,12143,12323,12507,12741,12871,12981,13136,13240,13409,13544,13712,13858,13960,14052,14232,14413,14626,14830,14916,15013,15194,15378,15585,15803,15902,15996,16189,16374,16601,16728,16836,16996,17101,17282,17421,17590,17735,17836,17934,18127,18316,18548,18680,18789,18957,19065,19274,19413,19604,19748,19849,19946,20133,20322,20559,20693,20801,20962,21069,21240,21345,21526,21669,21851,21999,22105,22202,22413
1184.9,1344.5,1534.7,1717,1876.8,2074.1,2331.4,2518,2737.9,2875.6,2978.9,3069.9,3312.6,3473.2,3649.3,3773,3906.8,4072.3,4209.8,4379.2,4514.7,4618.6,4709.5,4937.2,5084.9,5272.4,5398.1,5531.9,5703.4,5836.8,6001.2,6133.6,6231.5,6318.2,6555.1,6709.6,6902.5,7020,7148,7283.6,7415.5,7562.7,7696.5,7869.5,7997.9,8097.9,8187.8,8417.1,8571.2,8764.8,8873.5,9020.5,9139.8,9271.7,9394.5,9528.5,9689.4,9824.4,9987.2,10122,10223,10312,10557,10714,10905,11010,11149,11276,11414,11580,11732,11883,12021,12122,12218,12444,12608,12816,12934,13072,13195,13331,13484,13623,13799,13932,14037,14128,14356,14513,14718,14884,14994,15087,15312,15478,15665,15875,15980,16065,16308,16474,16670,16786,16931,17057,17193,17359,17499,17672,17812,17914,18005,18247,18412,18619,18738,18883,19019,19150,19350,19494,19689,19824,19928,20021,20253,20418,20632,20755,20896,21022,21159,21298,21438,21604,21755,21932,22073,22181,22278,22532
