u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d
1520.7,1657.4,1807.7,1961.2,2280.8,2423,2654.3,2793.6,2894.2,2984.9,3162.1,3336,3542.8,3662.1,3764,3927.5,4054.6,4212.6,4349.5,4450.8,4544.4,4714.3,4885.1,5097.4,5216.7,5320.5,5464.2,5563.4,5731,5865.3,6027.2,6160,6255.1,6347.8,6513.7,6687.5,6885.9,7088.5,7163.2,7254.2,7443.2,7623,7829.9,7946.2,8048,8192.4,8289.5,8454.6,8582.3,8738.7,8873.2,8975.2,9066.6,9232.4,9406.6,9608.5,9803.8,9887.2,9979.6,10149,10331,10540,10667,10766,10922
1566.7,1707.9,1860.1,2058.5,2328.8,2510.7,2726.7,2866.3,2964.2,3052,3272.6,3422.2,3605.5,3716.4,3853.3,4000.8,4127.3,4289.1,4423.9,4525.2,4616.2,4837.9,4980.4,5160.9,5280.9,5404.7,5520.6,5652.4,5804.3,5939.5,6103.3,6232.4,6330.4,6419.2,6634.5,6786.6,6972.1,7135.4,7238.7,7322.3,7567.4,7713.5,7899.3,8003.5,8143.6,8247.9,8384.6,8528.3,8661.9,8818.9,8951.2,9051.7,9137.2,9354.2,9504.3,9697.5,9860.8,9963.6,10050,10275,10428,10605,10726,10858,10975
