u,u,u,u,u,r,u,r,n,n,a,b,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1262.1,1396.1,1521.6,1677.1,1829.8,1973,2219.8,2366.9,2579.5,2722.4,2819.9,2914.6,3558.3,3705.3,3894.7,4028.2,4121.2,4213.5,4389.8,4561.4,4763.3,4880.1,4980,5149,5275.9,5429.4,5569.5,5668.2,5758.3,5952.7,6126.1,6331.6,6452.3,6556,6729.3,6857.4,7004.6,7143.8,7241.4,7337.1,7509.4,7685.7,7892.7,8015.5,8117.9,8265.9,8365.2,8524.7,8651.4,8800.5,8941.7,9039.2,9136.1,9338.7,9510.8,9722.5,9832.8,9935.2,10089,10190,10355,10488,10648,10792,10889,10985,11164,11341,11562,11689,11797,11947,12047,12215,12357,12522,12671,12767,12862
1304.9,1438.8,1572.6,1726.8,1882.3,2064.6,2275.4,2459.8,2654.3,2792.3,2895.7,2979.6,3611.7,3799,3969.1,4097.8,4193.9,4286.2,4511.2,4650.9,4823,4937.2,5072.1,5221.8,5362.8,5510.6,5647.5,5749.7,5828.1,6062.5,6216.2,6396.5,6506.6,6640.2,6800.1,6931.5,7085.7,7216.6,7315.7,7402,7629.1,7773.1,7956.7,8066,8212.1,8324.9,8451.5,8596,8727.8,8884.3,9014.2,9116.1,9208.5,9463.6,9602.8,9788.6,9888.7,10018,10146,10288,10432,10562,10729,10864,10964,11060,11290,11438,11631,11752,11881,12003,12138,12295,12427,12605,12744,12844,12931
