u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,s,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b
1403,1567.9,1758.1,1945.6,2154.2,2301.2,2399.8,2492.6,2663.3,2837.8,3044.5,3165.3,3268.5,3429,3558.4,3723.8,3862.4,3956.8,4049.8,4218.8,4387.7,4596.1,4717.2,4819.9,4990.7,5115.8,5271.3,5408.6,5508.3,5602.8,5778,5952.5,6163.9,6279.6,6381.5,6552.7,6682.4,6838.6,6969.4,7069.3,7159.2,7337.7,7509.8,7720,7840.4,7946.2,8099.3,8196.8,8360.8,8493.4,8643.8,8779.6,8874.4,8966.9,9141.4,9313.7,9516.2,9725.1,9802.1,9895,10068,10240,10430,10640,10728,10823,10990,11164,11385,11503,11607,11756,11858,12031,12158,12320,12460,12556,12652,12830,13010,13223,13346,13448,13596,13697,13872,14000,14160,14308,14410,14501,14681,14860,15067,15274,15355,15447
1452.2,1608.7,1800.8,2026.2,2229.2,2374.5,2469.2,2552.2,2769.4,2895,3105.6,3217.3,3352.5,3496.3,3629,3806.5,3935.4,4030.4,4116.7,4330.6,4477.6,4657.6,4776.2,4910.3,5061.3,5191.2,5353.7,5482.8,5582.1,5672.3,5904.1,6041.9,6224,6338.9,6475.2,6626.3,6759.1,6918.8,7044.9,7148.7,7229.5,7460.9,7606.5,7784.8,7901.2,8036.3,8153.8,8291.4,8435.8,8565.6,8725,8850.6,8951.1,9046.1,9257.2,9404.3,9595.6,9778,9879.4,9967.8,10190,10304,10518,10705,10806,10897,11110,11258,11451,11561,11701,11814,11949,12106,12238,12407,12536,12635,12721,12952,13101,13285,13407,13543,13654,13790,13945,14081,14233,14386,14487,14573,14800,14953,15148,15328,15431,15516
