u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1406.7,1577.9,1824.5,1961.8,2068.5,2165.9,2354.7,2529.7,2757.2,2888.8,3001.4,3173.8,3306.9,3472.2,3615.2,3717.7,3811.1,3992.5,4169.2,4380.1,4583.6,4668.9,4764.7,4940.9,5118.9,5326.5,5532.4,5623.4,5718.7,5893.7,6066.3,6283.8,6403.6,6508.1,6662.2,6762.8,6939.7,7069.6,7227.5,7366.8,7471.4,7570,7754.9,7929,8138.2,8344.3,8429.1,8525.6,8701.1,8874.6,9089.1,9207.4,9312.6,9466.1,9568,9728.3,9828,10015,10148,10297,10446,10546,10642,10844,11020,11236,11365,11471,11625,11727,11909,12045,12212,12351,12447,12543,12722,12897,13116,13337,13431,13528,13710,13894,14094,14299,14394,14492,14679,14863,15084,15206,15314,15465,15567,15744,15880,16059,16198,16297,16394,16578,16768,17003,17129,17237,17395,17499,17672,17805
1438.3,1651.5,1895.9,2032.9,2138.3,2227.7,2452.4,2617.8,2817.8,2939.8,3079.9,3240.2,3379.4,3552.3,3692.9,3792.7,3877.4,4106.2,4261.1,4447.7,4637.5,4743.2,4826,5054.5,5209,5403.5,5595.4,5701.8,5784.8,6000,6159,6345.9,6452.8,6589.8,6709.8,6844.8,7008,7139.2,7303,7443.2,7547.7,7637.1,7868,8021,8213.3,8399.4,8506.4,8591.6,8810.3,8963.5,9154.9,9259.7,9396.2,9516.9,9655.5,9777.5,9903.8,10087,10218,10377,10525,10624,10711,10957,11112,11303,11421,11547,11676,11804,11982,12119,12292,12423,12522,12607,12832,12989,13198,13405,13510,13595,13831,13963,14171,14372,14471,14559,14786,14949,15152,15259,15399,15521,15651,15818,15951,16146,16273,16376,16467,16693,16864,17072,17183,17319,17448,17575,17742,17878
