r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s
1475.1,1725.2,1869.8,1969.4,2065.5,2254.8,2434.5,2652.8,2783.4,2896.3,3071.3,3207.2,3379.4,3526.2,3628.7,3725.9,3905,4081.3,4295,4422,4527.5,4688.7,4789.3,4958.4,5095.9,5249.7,5384,5485.2,5582.2,5773.3,5946,6161.2,6276,6380.5,6532.2,6633.2,6800.1,6928.3,7088.4,7226.2,7327,7420.7,7588.8,7768,7975.2,8176,8257.3,8355.3,8532.5,8712.6,8930,9042.8,9147,9296.1,9398.1,9571.9,9705.4,9856.4,9997.7,10096,10193,10368,10546,10766,10886,10990,11143,11243,11426,11562,11718,11862,11965,12061,12250,12425,12629,12846,12934,13032,13216,13406,13614,13829,13918,14017,14194,14379,14599,14718,14823,14973,15081,15276
1537.2,1786.7,1937.5,2040.2,2127.3,2350.3,2488.9,2706.4,2834.2,2976.1,3136,3272.2,3457.9,3596.7,3703,3786.6,3999.3,4162.7,4357,4469.8,4603.7,4737.9,4868.4,5026.7,5159.6,5323.2,5455.8,5558.9,5640.8,5875.2,6030.2,6223.8,6325.9,6458.1,6580.8,6709.2,6871.5,7000,7167.5,7296.7,7397.3,7485,7696.1,7826.4,8042.4,8225.8,8331.8,8415.3,8638.5,8804.4,8989.9,9095.6,9227.3,9346.6,9477.2,9641.4,9774.2,9941.2,10070,10171,10253,10475,10642,10829,10937,11069,11193,11324,11496,11634,11803,11940,12044,12127,12365,12510,12689,12904,13012,13097,13325,13493,13686,13882,13993,14077,14308,14470,14665,14768,14899,15030,15164,15350
