u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,n,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,u,r,n,n,a,b,l,e,t,d,x,d,x,s
1184.6,1344.4,1542,1734.1,2194.6,2349.4,2558.1,2699.8,2803.2,2900,3089,3268.3,3484.6,3612.7,3720.8,3904.7,4029.7,4189.6,4329.2,4431.8,4529,4965,5136.9,5272.9,5465.6,5604.3,5703.4,5800.3,5968.4,6143.8,6349.7,6471.9,6578.4,6733.7,6833.9,7007.2,7136,7292.9,7433.2,7538.6,7630.7,7811.1,7987.5,8181.7,8380.7,8473.9,8569,8753.1,8940.1,9161.8,9280.2,9382.9,9533.2,9635.5,9800.9,9929,10087,10232,10331,10428,10607,10786,11002,11132,11237,11386,11487,11673,11812,11975,12114,12215,12311,12495,12680,12902,13028,13132,13286,13386,13569,13702,13876,14023,14126,14221,14408,14593,14790,14997,15085,15182,15359,15549,15802,15934,16040,16186,16291,16477,16614,16782,16929,17031,17126,17304,17489,17716,17988,18112,18325,18464,18566,18661,18851,19046,19266,19397,19499,19658,19762,19949
1232.5,1394.6,1594.8,1814,2250.8,2441.1,2632.8,2776.2,2877.7,2965.7,3207.1,3360.9,3549.6,3664.4,3802.2,3972.3,4101.5,4268.8,4404.5,4508,4595.5,5010.5,5198.1,5356.4,5548.8,5677.8,5779.9,5872.9,6089.8,6236.1,6417,6529.6,6665.4,6788.9,6921.4,7078.7,7208.7,7375.6,7511,7615.9,7702.2,7933.8,8080.1,8265.7,8448.6,8550.7,8637.8,8875.5,9043,9229.3,9341.8,9476.8,9588.2,9728.1,9876.3,10007,10171,10309,10410,10500,10729,10878,11074,11191,11321,11444,11582,11750,11893,12058,12192,12292,12383,12622,12775,12977,13086,13210,13345,13480,13647,13778,13961,14101,14201,14298,14526,14687,14873,15059,15165,15253,15480,15649,15872,15997,16133,16248,16384,16554,16689,16865,17009,17109,17198,17431,17584,17797,18037,18202,18409,18543,18643,18735,18976,19138,19337,19457,19587,19718,19856,20025
