u,r,n,n,a,b,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r
1549.9,1716.9,1950.2,2093.9,2206.7,2299.1,2637.4,2773.5,2981.8,3116.5,3219.7,3316.8,3486.9,3663.8,3882.5,4008.7,4116.9,4284.1,4416.5,4571.1,4712.2,4811.6,4908,5081.9,5258.7,5475.4,5591,5699.7,5867.1,5999.4,6166.9,6307.7,6408.1,6508.5,6690.4,6871.2,7084.5,7203.9,7312.2,7491.1,7625.2,7788,7926.4,8031.5,8131.6,8309.2,8488.1,8707.9,8829.9,8939.4,9098,9198.7,9382.7,9516.9,9676.3,9822.4,9928.4,10029,10212,10393,10604,10808,10895,10994,11182,11365,11587,11818,11909,12009,12196,12381,12604,12723,12831,12993,13098,13262,13406,13567,13702,13803,13901,14086,14269,14501,14632,14743,14927,15068,15240,15382,15494,15595,15787,15975,16203,16331,16440,16594,16701,16881,17023,17200,17346,17453,17551,17750,17934,18181,18313,18425,18605,18749,18921,19070,19178,19275,19465,19657,19877
1597.2,1788.2,2019.9,2148.3,2272.9,2359.9,2681.6,2865,3061.8,3190.7,3291.2,3382.2,3601.2,3754.9,3943.2,4060.7,4204.1,4353.6,4492,4651.3,4786,4890.5,4976.5,5201.4,5348,5534.3,5644.9,5780.1,5938.6,6070.2,6252.6,6380.9,6484.3,6570,6811.1,6959.2,7151,7258.4,7395.4,7562.7,7696.8,7865.4,8003.4,8111.5,8199.6,8429.3,8578.4,8773.5,8886.3,9023.1,9152.2,9285.9,9457.5,9588,9754.7,9902.1,10010,10095,10336,10488,10683,10862,10972,11062,11301,11464,11662,11876,11988,12077,12309,12480,12672,12783,12923,13048,13184,13341,13483,13648,13779,13884,13968,14206,14363,14571,14685,14827,15000,15142,15323,15469,15572,15665,15912,16071,16272,16389,16532,16653,16787,16959,17095,17283,17427,17535,17615,17864,18029,18251,18375,18512,18685,18826,18998,19150,19257,19346,19579,19752,19954
