r,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1244.2,1413.2,1599.6,1758.9,1983.4,2121,2220.5,2311.2,2483,2653.1,2849.7,2970.9,3071.9,3232.6,3357.1,3514,3651.9,3746.3,3841.1,4008.1,4176.7,4369.9,4492.1,4591.7,4764.8,4894.7,5152,5323.2,5440.4,5625.2,5761.2,5856.5,5947.6,6121.4,6288.2,6485.2,6603.1,6703.8,6847.6,6944.7,7097.2,7224.8,7376.2,7512.1,7610.2,7699.5,7872.7,8044.2,8252.7,8373.9,8475.5,8617.9,8772.4,8928,9088.9,9183.3,9280.1,9451.1,9617.7,9827.3,9944.9,10045,10190,10289,10450,10581,10737,10874,10969,11063,11233,11409,11630,11748,11852,12010,12110,12285,12419,12574,12718,12815,12912
1296.8,1457.4,1637.9,1837.2,2059.2,2192.8,2291.3,2377.2,2595.6,2737.6,2914.7,3026.3,3155.2,3303.5,3430.1,3592.8,3723.9,3824.2,3908.5,4130,4263,4439.8,4550.4,4672.4,4835.4,4965.2,5193.2,5369.6,5520.7,5708.9,5834.5,5932,6013.1,6235.2,6374.9,6548.8,6658.4,6783.8,6899.7,7023.4,7173,7293.4,7457.2,7586.2,7684.7,7766.3,7995.9,8133.2,8319.1,8426.5,8553.7,8712.6,8849.8,9013.2,9163.1,9259.8,9343.7,9553.5,9712.2,9891.4,9994.5,10121,10245,10371,10521,10656,10817,10945,11046,11130,11352,11495,11696,11806,11930,12062,12200,12361,12494,12654,12795,12898,12981
