u,u,u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1263.4,1437.5,1986,2175.8,2321,2535.4,2676.7,2776.1,2872.2,3041,3218.4,3421.7,3546.1,3649,3797.4,3896.1,4062.3,4194.8,4351.4,4491,4590.8,4688.6,4862.5,5034.1,5248.9,5379.8,5485.2,5635.8,5736.2,5911.8,6037.5,6195.2,6330.5,6426.5,6517.9,6689.6,6862.4,7081,7204.3,7309.9,7463.3,7565.7,7725.4,7828.3,7992.2,8123.1,8307.5,8452.8,8554.6,8648.9,8830.6,9010.9,9248.9,9384.1,9486.5,9637.2,9735.6,9929.5
1312,1484.4,2035.6,2236.6,2412.6,2613.3,2751.2,2850.8,2945.4,3160.9,3310.1,3489.6,3616.5,3740.4,3849.9,3983.7,4141.1,4278.5,4433.1,4570.1,4668.7,4774.8,4986.8,5132.2,5316.2,5443.7,5571.8,5694,5824.5,5985.4,6118.6,6276.8,6405.2,6502.7,6598.1,6812.5,6956.2,7153.4,7264.1,7411,7528.4,7660.9,7790.7,7922.9,8068.4,8200.9,8395.2,8530.3,8633.7,8723.2,8958.2,9111.8,9319.2,9449.1,9586,9701.8,9830.6,10006
