r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b
1741.2,1984.3,2127.5,2233.8,2353.3,2521.2,2697.5,2916.7,3044.9,3154.5,3327.1,3460.9,3641.8,3779.7,3882.4,3981,4161.4,4336.9,4558.4,4685.4,4792.6,4943.9,5048.8,5226.3,5363.4,5521.4,5658.5,5757.5,5849.6,6043.1,6217.3,6424.5,6546.1,6650.1,6804.2,6906.1,7076.5,7208.5,7368.6,7504.7,7599.2,7695.4,7869.8,8045.8,8249.6,8443.3,8525.6,8619.9,8795.7,8970,9178.8,9296.2,9399.1,9548.6,9649.4,9816.7,9951.3,10107,10250,10347,10442,10617,10793,11007,11127,11235,11391,11493,11653,11779,11946,12080,12180,12280,12453,12639,12844,13061,13143,13240
1814.6,2060.3,2199.8,2304.2,2398.4,2613.8,2766.5,2976.5,3097.4,3232.1,3393.4,3527.3,3716,3856.2,3954.8,4042.9,4270.2,4429.3,4625.8,4736,4872.4,4993.5,5128.4,5300.3,5433.9,5596.8,5728.7,5833.7,5917.7,6152.9,6302.6,6489.2,6602,6731.3,6855.6,6988.7,7151.3,7278.4,7449.2,7574.8,7675,7764.1,7982,8142.5,8319,8496.7,8600.8,8688.2,8911.1,9056.4,9246.8,9348.6,9486.4,9602.6,9738.1,9894.3,10020,10189,10325,10424,10512,10735,10887,11076,11181,11316,11446,11565,11727,11851,12024,12159,12258,12344,12567,12731,12923,13116,13225,13308
