r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x
1594.8,1785.4,1977.7,2212.6,2351.7,2448.7,2541.2,2723.8,2900.7,3103.8,3226.5,3335.1,3504.1,3629.6,3781.5,3921.6,4018.6,4111.3,4278.1,4454.8,4656.6,4778.3,4879.6,5045.1,5145.9,5308.6,5437.2,5593,5724.5,5820.6,5915.1,6088.3,6262.2,6471.3,6591.6,6697,6860.5,6961.9
1638.3,1830.6,2065.8,2289.9,2428.1,2520.6,2610.1,2831.3,2988.4,3168.2,3283.9,3428.4,3577,3718.1,3861.1,3995.4,4093.6,4176.9,4401.6,4549.5,4724.7,4835.9,4971.4,5098.9,5230,5384,5509.2,5666.9,5795.8,5898.2,5985.2,6207.5,6362.4,6537,6650.8,6791.5,6918,7057.9
