u,r,r,n,n,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w,r,n,r
1067.3,1226.1,1275.2,1480.4,1625.2,1829.2,1972.1,2192,2333.2,2431.1,2529.7,2708.2,2886.2,3092.7,3217,3324.6,3500.7,3631.5,3800.9,3945.7,4046.8,4145.5,4332.6,4508.5,4721.3,4856.5,4963.6,5147.8,5283.7,5449.2,5592.1,5690.2,5784.9,5962.4,6143.4,6349.4,6556.8,6637.6,6733.7,6921.1,7094.9,7307.6,7439.6,7545.2,7694.6,7797.5,7972.1,8104.2,8277.8,8423.8,8524.2,8623.8,8804.5,8985.2,9205.5,9335.1,9439.4,9594.5,9698.3,9878.6,10015,10178,10319,10421,10516,10687,10875,11090,11224,11334,11490,11596,11783,11918,12089,12232,12330,12427,12608,12787,13007,13135,13240,13405,13506,13703,13844,14023,14177,14278,14373,14567,14755,14982,15115,15224,15407,15509,15688,15833,16008,16169,16273,16372,16555,16740,16968,17181,17312
1109.5,1269.7,1306.4,1530.1,1667.7,1891.8,2055.4,2270.8,2404.7,2508.8,2594.8,2821.5,2977.6,3158.6,3271.9,3404.6,3575.1,3704,3881.7,4020.7,4125.2,4215,4448.2,4597.9,4790.2,4914.9,5053.9,5224.2,5354.4,5532.6,5666.8,5767.3,5851,6083.6,6238.2,6427.8,6596.5,6713.8,6802.9,7033.4,7182.6,7373.5,7496.8,7633.3,7750.6,7885,8044.8,8176.3,8358.1,8499.9,8602.7,8689.4,8922,9081.8,9276.3,9392,9523.2,9651.5,9788.8,9954.9,10089,10261,10397,10499,10591,10812,10972,11160,11282,11414,11549,11683,11857,11986,12174,12306,12411,12496,12723,12883,13076,13188,13329,13463,13594,13780,13926,14107,14253,14355,14438,14685,14848,15050,15174,15311,15465,15589,15763,15907,16093,16247,16354,16444,16673,16788,17041,17220,17401
