u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s
1215.2,1401.7,1604.6,1764.3,1977.9,2122,2223,2322.8,2510.3,2682.2,2894.5,3016.6,3123.1,3284,3420.7,3583.9,3722.9,3823.1,3921.3,4094.7,4268.7,4483.9,4607,4711.1,4872.6,5010,5173.1,5315.3,5414.8,5512.8,5682.2,5857.6,6063.6,6187.7,6294.9,6449.1,6548.2,6708.8,6840.2,7003.7,7147.8,7246.3,7339,7504.9,7680.1,7896.1,8021.5,8127.4,8288.2,8392.5,8570.8,8702.5,8865.1,9003,9102,9197.6,9367.8,9551.8,9772.9,9897.2,10001,10152,10255,10428,10559,10725,10864,10967,11066,11243,11420,11647,11765,11874,12027,12129,12325,12463,12638,12786,12894,12992,13178,13360,13586,13792,13880,13974,14166,14361,14585,14724,14834,14997,15101,15309
1259.4,1443.8,1644.5,1857.4,2055,2198.8,2295.5,2385.1,2615.4,2773.3,2955.2,3068.5,3203.7,3361.9,3508.8,3668.6,3801.4,3902,3989.6,4216.4,4365.3,4549.1,4660.1,4792.8,4949.9,5087.5,5253.4,5392.8,5488.6,5579.9,5796.1,5950.4,6132,6241.9,6381.3,6498.4,6630.3,6784.3,6911.7,7091.9,7221.7,7320.1,7410.2,7623.9,7769.2,7959.9,8082.5,8213.2,8343.5,8474.3,8646.3,8776.3,8945.5,9077.4,9179.7,9268.4,9495.6,9647.9,9841.4,9951.1,10088,10210,10340,10507,10634,10804,10943,11044,11133,11359,11522,11715,11823,11962,12085,12224,12403,12541,12724,12868,12974,13060,13290,13457,13666,13854,13961,14044,14285,14457,14659,14788,14916,15055,15188,15384
