u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1120.8,1279,1434.3,1579.6,1833.7,1973.8,2078.2,2172.3,2352.8,2521.6,2735.2,2866.6,2969.6,3136.8,3266.4,3425.2,3564.8,3662.2,3751.9,3920.3,4093.9,4306.9,4428.2,4530.9,4685.8,4782.5,4945.2,5077.2,5228.2,5368.1,5467.7,5557.2,5729.7,5903,6116.5,6241.1,6344.5,6493.1,6591.7,6758.7,6887.3,7040.4,7181.2,7279.6,7371.8,7546.1,7717.2,7927.2,8116.5,8204.6,8298.8,8475.3,8649.7,8868.7,8997.4,9099.2,9263,9362.8,9529.5,9659.2,9817.7,9958.1,10061,10154,10324,10500,10721,10842,10945,11097,11197,11377,11511,11671,11817,11924,12017,12190,12374,12616,12737,12843,12988,13094,13271,13406,13562,13704,13809,13905,14095,14273,14489,14692,14774,14869,15054,15239,15467,15590,15694,15850,15953,16126,16265,16441,16590,16691,16785,16967,17156,17458,17593,17698,17851,17953,18136,18274,18466,18610,18715,18811,19018,19197,19425,19547,19653,19813,19916,20100,20239,20410,20558,20657,20753
1152.6,1316.9,1468.2,1659.4,1898.7,2045,2146.9,2231.9,2453.9,2611.8,2798,2920.2,3049,3205.9,3334.5,3504.8,3636.1,3735.9,3818.7,4030,4159.3,4370.4,4478.6,4614.8,4733.1,4866.2,5015.1,5149.1,5308.7,5440.1,5539,5625.4,5844.5,5985.2,6184.4,6296,6430.3,6544.5,6674.4,6829.2,6958.7,7122.8,7254.9,7355.4,7438.2,7655.3,7807.8,7996,8180,8280.8,8368.2,8588.6,8738.9,8930.7,9051.7,9187.6,9318,9445.6,9604.8,9736.6,9899.2,10040,10138,10219,10432,10591,10786,10901,11031,11153,11278,11451,11583,11755,11895,12002,12086,12307,12471,12681,12796,12929,13040,13180,13344,13480,13645,13784,13890,13976,14215,14368,14561,14749,14852,14938,15169,15328,15537,15646,15779,15907,16041,16199,16338,16521,16669,16769,16856,17075,17219,17524,17647,17785,17906,18034,18213,18346,18546,18689,18793,18881,19129,19287,19496,19602,19742,19871,19999,20174,20315,20487,20634,20735,20827
