u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,b
1362.6,1521.4,1664.6,1820.8,1974.1,2206.1,2353.5,2554.5,2698.2,2795.7,2885.4,3063.6,3237,3442.4,3562.5,3669.3,3844.5,3977.7,4624.4,4756.7,4948.8,5085,5179.6,5274.1,5440.8,5616,5816.2,5936.2,6039.1,6192.8,6293,6458.5,6586,6744.8,6882.7,6980.9,7074.3,7249.1,7425.2,7616.1,7811.8,7898.2,7993.8,8173.8,8351.1,8560.8,8757.4,8834.6,8931.7,9107.1,9285.2,9502.2,9619.1,9722.3,9868,9971.6,10141,10274,10432,10581,10677,10772,10949,11129,11346,11475,11578,11728,11832,11992,12094,12252,12355,12534,12672,12834,12981,13081,13177,13361,13541,13754,13954,14039,14137,14317,14497,14733,15006
1397.6,1553.3,1706.8,1872.4,2050,2260.8,2441.5,2632.7,2768.2,2865.1,2953.1,3178.7,3323.9,3506.8,3620.3,3759.3,3916.3,4047.9,4681.9,4845.9,5029.9,5156.2,5251.2,5337.7,5557.9,5702.3,5880.9,5992.5,6125.2,6254.2,6384.3,6531.8,6656.3,6822.2,6957.5,7054.8,7143.7,7370.5,7523.5,7701.4,7873.6,7974.5,8060.4,8297.1,8443.3,8643.2,8804.4,8913.1,9000.2,9231.6,9378,9564.3,9677.3,9806.1,9926.6,10061,10218,10351,10520,10654,10756,10838,11078,11220,11419,11534,11670,11794,11918,12050,12180,12310,12446,12608,12750,12918,13054,13159,13249,13482,13635,13833,14013,14116,14215,14430,14589,14804,15087
