u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,d,x,d,x,s,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1862.9,1988.7,2195.2,2328.2,2427.3,2518.1,2694.6,2864.8,3071.8,3189.2,3291.3,3446.4,3548.1,3717.8,3839.3,3996.3,4134.2,4231.2,4323.2,4487.9,4658.9,4868.2,4981.7,5081.6,5230.2,5333,5505.7,5629.4,5784.7,5919.2,6018.8,6112.9,6280,6452.6,6650.7,6848.9,6925.2,7018.9,7190.6,7374.9,7583.1,7695.2,7797,7943.4,8041.2,8200.3,8322.3,8482.6,8619.7,8718.5,8812.2,8992.8,9172.9,9371.8,9571.1,9648.2,9745.5,9916.6,10102,10311,10432,10536,10686,10785,10954,11082,11236,11378,11474,11566,11743,11925,12128,12329,12410,12506,12683,12862,13082,13193,13407,13517,13610,13800,13982,14209,14330,14434,14578,14678,14830,14928,15100,15717,15861,16071,16210,16311,16405,16589,16774,17001,17128,17233,17381,17483,17666,17817,17977,18124,18222,18316
1900,2078.2,2265.2,2399.1,2496.2,2582.1,2807,2954.6,3134.3,3243.2,3380.5,3514.5,3640.1,3790.4,3910.2,4081,4206.9,4305.2,4391.3,4602.9,4746.7,4929.2,5038.7,5171.8,5286,5424.2,5572.1,5701.3,5866.1,5996,6093.5,6180.6,6394.4,6542.5,6736.9,6894.4,6998.8,7088.2,7309.6,7472.4,7647.6,7752.2,7885.8,8001.1,8130.1,8276.7,8400.9,8565.7,8695.9,8794.7,8883.8,9114.2,9264.2,9459.8,9627.4,9726.2,9811,10036,10194,10381,10494,10625,10745,10874,11027,11156,11318,11453,11552,11640,11869,12017,12205,12387,12487,12579,12804,12955,13150,13270,13490,13591,13683,13918,14080,14276,14389,14522,14636,14766,14887,15011,15174,15780,15953,16156,16289,16388,16477,16709,16868,17069,17186,17326,17442,17573,17740,17892,18057,18199,18299,18386
