u,l,r,u,r,n,n,a,b,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,u,r,n,n,a,b
1236.3,1383.9,1573.2,1833.5,1987,2189.1,2331.2,2440.4,2540.5,3321.3,3463.8,3666.9,3808.4,3903.2,4030.3,4209.9,4383.9,4591.5,4718.9,4822.5,4981.5,5106,5263.5,5401.4,5501.1,5595.6,5767.6,5942.5,6149.5,6268.4,6372.1,6524.9,6627.9,6786.2,6914.6,7068.4,7203,7301.6,7392.3,7565.3,7737.1,7933.4,8127.3,8206.5,8303.7,8470.7,8642.9,8856.8,8981.5,9084.9,9245.1,9343.5,9510.8,9636.4,9790.4,9929,10030,10127,10303,10474,10683,10799,10905,11056,11157,11322,11462,11624,11767,11865,11960,12143,12321,12530,12651,12759,12906,13006,13176,13308,13471,13617,13719,13813,13995,14175,14380,14582,14672,14767,14940,15124,15348,15504,15612,15761,15868,16048,16184,16354,16496,16598,16694,16865,17042,17265,17388,17611,17706,17803,17982,18167,18385,18511,18618,18771,18875,19060,19197,19356,19505,19613,19706,19903,20096,20303,20561,20717,20924,21073,21175,21270
1279.9,1444,1664.4,1893.9,2076,2260.5,2405.8,2504.5,2588.8,3374,3555.9,3746.4,3883.7,3985.7,4079.2,4323.9,4478,4657.7,4775,4910.8,5052.7,5181.1,5347.6,5476.6,5576.3,5661.8,5891,6032.2,6215.3,6324.5,6468.4,6581.2,6712.6,6858.9,6992.9,7153.2,7277.8,7376.6,7459.5,7684.1,7833.3,8015,8183.2,8286,8375.7,8591.3,8736.2,8922.5,9037.4,9183.2,9300.5,9430.2,9585.4,9711.6,9875.1,10008,10109,10197,10428,10566,10751,10856,10996,11116,11242,11393,11537,11709,11842,11944,12031,12265,12408,12597,12712,12847,12964,13101,13252,13390,13555,13692,13792,13885,14111,14270,14459,14652,14755,14836,15061,15220,15420,15563,15703,15820,15960,16124,16266,16437,16575,16676,16764,16981,17137,17322,17473,17680,17787,17876,18103,18262,18455,18573,18709,18831,18970,19131,19270,19439,19582,19691,19782,20020,20202,20386,20634,20806,21004,21150,21252,21339
