u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1657.1,1792.1,1987.7,2125.6,2223.8,2319.8,2495,2670.4,2883.3,3006.2,3112.7,3287.5,3415.3,3574.9,3710.2,3816.2,3912.8,4089,4265.9,4475.9,4591.2,4694.3,4846.5,4949.2,5122.1,5251.9,5413,5549.1,5647.7,5739.9,5906,6077,6283.2,6404.4,6510.9,6662.5,6765,6930.6,7061.4,7216.2,7355.3,7451.4,7544.2,7725,7902,8113.2,8233.6,8339,8485.6,8585.3,8751.9,8884.4,9048,9187.2,9283.7,9380.3,9563.4,9741.2,9968.6,10098,10203,10375,10475,10640,10778,10954,11100,11198,11291,11479,11658,11872,12084,12172,12273,12450,12635,12851,13068,13158,13255,13437,13613,13830,13955,14060,14214,14316,14489,14638,14804,14946,15042,15137,15338,15535,15766,15901,16008,16165,16266,16454,16595
1701.6,1875.2,2067.6,2199.5,2299.5,2385.6,2615.1,2759.6,2944.4,3059,3190.8,3359.9,3485.8,3657.5,3791,3887,3974.8,4200.1,4353.1,4539.8,4641.1,4775.8,4900.8,5033.1,5191.4,5321.4,5492.4,5621.8,5721.1,5805.1,6022.9,6162,6352.9,6457.2,6593.9,6712.8,6848.9,7003.2,7130.2,7304.7,7428.3,7529.5,7613.8,7833.5,7987.6,8179.9,8286.8,8421,8534.6,8664,8829,8960.3,9130.8,9261.5,9360.8,9447.3,9674.1,9837.5,10040,10155,10286,10428,10560,10716,10849,11039,11173,11273,11359,11591,11749,11945,12141,12252,12343,12552,12722,12923,13133,13238,13324,13540,13700,13899,14007,14140,14267,14394,14565,14706,14885,15020,15119,15206,15451,15623,15836,15955,16086,16212,16344,16528,16663
