u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,t
1174.1,1353.4,1546.8,1720.5,1959.7,2105.2,2212.9,2309,2497.4,2680.9,2890.5,3023.1,3126.3,3299.7,3438.7,3604.2,3750.5,3851.9,3949.6,4132.1,5003.3,5144.3,5348.4,5487.2,5586.1,5683.2,5864.4,6048.7,6261.8,6377.8,6482.5,6640.8,6742.7,6900.2,7035.3,7200.9,7343.2,7443,7538.7,7719.4,7895.5,8104.2,8227.8,8328.9,8487.7,8589.9,8771,8913.9,9084.9,9232.6,9333.4,9431.6,9611.2,9794.2,9998,10221,10306,10409,10582,10765,10976,11108,11214,11365,11469,11644,11785,11956,12098,12200,12302,12481,12672,12890,13020,13127,13279,13384,13565,13704,13866,14009,14108,14204,14406,14594,14832,14977,15087,15248,15353,15532,15667,15842,15996,16099,16197,16381,16569,16802,16937,17044,17207,17314,17476,17584,17767,17905,18099,18262,18370,18470,18646,18842,19077,19222,19334,19502,19606,19790
1212,1403.8,1590,1809.3,2037.8,2181.1,2288.3,2374.1,2610,2773.9,2955.8,3081.9,3215,3377.9,3509.6,3686.9,3827.3,3929,4015.1,4186.5,5061.1,5239.6,5427.2,5563.8,5660.2,5752.2,5994.3,6142,6329.6,6437,6572.8,6703.2,6838.1,6977.3,7121.7,7280.7,7418.9,7522.8,7610.7,7830.2,7989.6,8177.1,8286.2,8424.2,8546.9,8680.5,8851.3,8992.8,9172.8,9310.5,9412.4,9499.4,9742.2,9888.7,10080,10275,10389,10478,10712,10839,11050,11168,11301,11420,11556,11725,11863,12041,12177,12282,12370,12609,12768,12966,13080,13220,13339,13472,13645,13790,13950,14087,14187,14278,14528,14690,14907,15044,15180,15310,15443,15609,15748,15930,16076,16182,16272,16510,16671,16876,16999,17134,17276,17407,17538,17675,17845,17991,18184,18341,18451,18544,18773,18940,19151,19285,19426,19563,19697,19864
