u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,d,x
1616.1,1767,1983.8,2121.9,2215.5,2305.3,2488.9,2655.7,2860.1,2984.8,3092.1,3261.3,3391,3550,3686.3,3782.8,3875,4047.6,4226.1,4424.2,4555.4,4658.2,4836.9,4961.5,5131.1,5268,5366.1,5456,5627.5,5798.4,6005.5,6119.2,6221.6,6367.1,6465.5,6626.1,6752.8,6913.6,7052.9,7154.2,7246.6,7445.7,7619.8,7831.5,8013,8103.8,8197.3,8371.2,8547.2,8752.9,8872.6,8973,9117.4,9216,9390,9515.1,9673,9812.6,9912,10007,10187,10366,10580,10701,10804,10953,11052,11219,11356,11517,11656,11758,11855,12034,12209,12415,12617,12697,12791,12973,13159,13384,13500,13607,13754,13858,14024,14128,14290,14395
1659.9,1849.9,2059.8,2189.5,2286.2,2368,2598.8,2744.9,2921.5,3048.8,3180.7,3331,3465.3,3625.4,3756.8,3854.1,3946.5,4165.8,4313.2,4488.1,4614.3,4748.4,4904.6,5044,5206.2,5340.8,5439.2,5524.5,5750.2,5891.8,6067.8,6174,6308.9,6423,6556,6700.2,6829.4,6993,7128.5,7227.4,7312.2,7559.8,7706.3,7903.8,8078.5,8182.3,8262.3,8493.1,8633.1,8820.4,8927.8,9062,9174.2,9305,9464.5,9590.4,9752.6,9886.3,9988.6,10078,10304,10458,10645,10756,10888,11011,11132,11293,11438,11597,11734,11836,11926,12151,12297,12493,12665,12778,12864,13090,13250,13455,13556,13689,13814,13943,14083,14214,14350,14466
