u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s
1456.6,1622.1,1812.1,1973.8,2176.5,2319.5,2421.2,2512,2689.5,2862,3068.6,3193.9,3298.7,3462.2,3592.6,3755.6,3891.8,3990.7,4090,4269,4448.1,4660.1,4863.8,4946.8,5041.2,5212.1,5393.8,5623.3,5767.4,5875.5,6039.2,6143.4,6332.5
1499.8,1670,1859.4,2055.6,2251.8,2392.6,2491.9,2580.2,2808.1,2952.7,3132.7,3254.4,3391.9,3534,3670.3,3835.6,3966.3,4071.7,4159.8,4388.7,4543.7,4739.3,4914.4,5024.6,5115.6,5335.4,5492.7,5690.6,5825.4,5966.4,6091.4,6234,6398.2
