r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,l,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,s,d,x,d,x,s,r,n,n,a,b,l,e
1729.9,1959.2,2105.2,2208.7,2302.1,2492,2675.4,2890.2,3026.4,3135.7,3308.2,3440.2,3600,3736.8,3840.7,3934.8,4113.8,4288.4,4505.4,4626.7,4732.6,4887,4989.5,5161.6,5291.7,5447.9,5587.2,5686.2,5783.7,5956.2,6132,6339.1,6466.8,6574,6725.5,6825.2,6995.2,7124.2,7283,7426.8,7528.3,7623.7,7800.6,7978.4,8187.5,8389.4,8471.1,8570,8752.2,8928.1,9140,9221.7,9426.8,9525.4,9621.9,9803,9986.3,10199,10313,10413,10578,10677,10849,10983,11140,11282,11378,11473,11650,11825,12036,12157,12261,12416,12519,12704,12841,13008,13151,13251,13344,13527,13707,13930,14057,14162,14319,14420,14604,14739,14901,15046,15146,15242,15421,15605
1796.3,2025.9,2175.7,2278.9,2367.8,2596.3,2762.6,2956.6,3078.8,3209.7,3381.8,3504.8,3676.3,3809.9,3914.8,4001.1,4225.5,4380.8,4568.2,4679.7,4809.9,4941.4,5066.6,5230.2,5352.7,5526.4,5660.1,5763.4,5845.1,6068.4,6222.1,6406,6517.9,6651.3,6780.7,6908,7071.3,7190.1,7364.2,7499,7601.4,7686,7913.6,8066.1,8262.4,8450.2,8551,8636.1,8871.7,9019.2,9200.6,9280.2,9495.3,9596,9686.1,9914.6,10077,10267,10366,10493,10632,10757,10923,11050,11222,11353,11458,11541,11766,11914,12106,12213,12342,12470,12603,12781,12907,13092,13226,13326,13414,13641,13800,13998,14112,14232,14369,14506,14675,14807,14982,15122,15221,15302,15525,15671
