u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1631.2,1775.5,1981.5,2121.1,2217.7,2310.5,2493.3,2662.9,2869.1,2984.7,3085.2,3233.5,3333.1,3489.9,3616.9,3770.2,3909.5,4007.2,4096.5,4267.2,4432.1,4643.4,4760.8,4862.3,5008,5107.9,5266.5,5397.2,5548.3,5684.7,5781.5,5877.2,6047,6223.1,6420,6611.1,6691.3,6785,6970.6,7147.1,7346.3,7560.4,7651.2,7745.5,7934.8,8113.1,8325.6,8442.6,8545.6,8691.8,8792.8,8991.2,9093.9,9255.7,9384.7,9544.6,9687.8,9790.8,9885.6,10072,10248,10460,10667,10747,10843,11023,11200,11437,11566,11672,11820,11922,12079,12183,12367,12500,12664,12802,12902,12996,13193,13383,13607,13813,13898,13997,14191,14388,14608,14735,14838,14992,15096,15281,15416,15623,15772,15872,15968,16158,16338
1667,1844.3,2054.1,2194,2291.1,2375.3,2594.8,2745.2,2932.6,3039.4,3166.3,3287.2,3413,3567.1,3692,3852.6,3980.3,4082.4,4160.9,4380.2,4517.4,4708.5,4812,4937.8,5060.6,5192,5336.6,5464.2,5627.3,5758.1,5856.8,5940.9,6167,6306.8,6495.6,6665.9,6769.3,6852.4,7075.2,7232.7,7414.4,7627.5,7724.9,7813.1,8046.3,8204.4,8396.8,8498.1,8629.3,8745.6,8872.1,9047.5,9167.5,9329.5,9457.7,9625.4,9764,9868.1,9955.2,10188,10343,10535,10698,10832,10912,11139,11300,11504,11623,11752,11877,12003,12130,12261,12443,12568,12746,12877,12980,13063,13297,13470,13676,13873,13983,14064,14310,14449,14677,14786,14920,15043,15174,15357,15487,15708,15851,15952,16035,16269,16425
