l,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,u,u,l
1990.8,2176.2,2327.2,2574.1,2726.4,2827.6,2924.2,3110.8,3287.7,3491.9,3633.3,3738.1,3910.8,4053.3,4219.3,4360.4,4457.7,4549.3,4728,4903,5110,5229.5,5331,5498.3,5629,5785.3,5920.9,6021.9,6118,6288,6463.7,6675.9,6792.4,6895.9,7048.5,7147.5,7314.5,7442.8,7604.2,7738,7839.1,7937.8,8104.5,8290.1,8507,8637.8,8743.2,8900.5,9001.6,9171.7,9301.6,9462.3,9603.4,9714.2,9809.7,10566,10676,10817
2079.7,2235.2,2401.6,2650.4,2801.9,2897.1,2983.6,3227.9,3349.2,3550.5,3683.5,3821.1,3986.8,4125.3,4294.8,4430.8,4526.4,4616.8,4850.1,4997.2,5171.2,5287.1,5418.9,5571.1,5699.1,5863.1,5996.8,6096.5,6183.6,6408.8,6556.8,6738.6,6847.8,6973.6,7103.2,7234.5,7387.8,7517.8,7680.9,7815.7,7914.7,8005,8234.5,8390.3,8574.9,8693.4,8837.5,8957.5,9089.4,9246.1,9374.2,9542.8,9677.4,9787.4,9878.6,10603,10732,10861
