u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x
1653.2,1783.2,1984.5,2123.8,2221.8,2314.7,2485.3,2653,2862.7,2981.6,3082.7,3237.5,3365.5,3531.1,3665.6,3762.7,3852.1,4025.8,4198,4404.4,4519.9,4625,4791.4,4916.9,5071.1,5208.1,5307.7,5401.4,5578.1,5748.5,5951.4,6071.7,6175.1,6329.8,6427.1,6595.1,6722.7,6881.4,7013.1,7113.3,7206.3,7387.7,7566.7,7778.9,7895.7,7997.4,8168.9,8295,8448.9,8585,8693,8787.9,8961.2,9135,9343.5,9528.4,9608.2,9702.8,9868.1,10053,10267,10385,10488,10630,10732
1684.6,1856.9,2057.4,2197.1,2291.6,2376,2593.8,2742.4,2919.5,3035.9,3164.9,3308,3448.2,3611.4,3738.7,3834.2,3917.9,4142.4,4288.9,4469.3,4574.8,4704.2,4860.8,4987.3,5150.7,5285.2,5379.9,5466.1,5691.8,5838.8,6017.3,6124.8,6260.4,6380.5,6514.9,6663.4,6793.8,6960,7088.2,7190.2,7271.8,7501.6,7657.2,7843.5,7950.9,8077.2,8240,8365.2,8524,8669.4,8767.3,8855.2,9079.7,9199.9,9428.1,9580.3,9687.2,9775.2,9984.3,10149,10329,10438,10570,10684,10807
