u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w
1157.4,1302.3,1509.3,1652.9,1831.7,1985,2211.6,2348.6,2452.5,2546.6,2727.4,2904.2,3111.3,3231.3,3337.3,3507.9,3639.7,3800.6,3940.9,4040,4131.8,4298.1,4477.5,4690.5,4814.3,4918.6,5074.6,5174.2,5343.6,5468.1,5625.7,5750.2,5860.1,5951.7,6119.8,6293.3,6495.6,6610.3,6712.1,6859.3,6958.2,7121.8,7244.5,7403.5,7539.4,7638.9,7730.6,7917.9,8096.8,8280.4,8397.2,8499,8645.8,8746.1,8908.5,9036.9,9198.2,9339.8,9439.9,9529.8,9712.4,9891.4,10075,10270,10361,10454,10635,10817,11023,11157,11261,11409,11510,11689,11816,11978,12122,12222,12315,12497,12687,12898,13026,13130,13279,13387,13550,13650,13829,13961,14134,14280,14382,14476,14660,14846,15070,15199,15309,15468,15575,15751,15884,16060,16207,16305,16398,16593,16779
1207.4,1350.7,1557,1717.9,1890.8,2071.4,2280,2422.5,2524,2613,2842.3,2993.3,3176.1,3289,3429.1,3577.8,3716.4,3881.2,4016.6,4113.7,4203.2,4415.6,4567.3,4758.3,4870.3,5011.7,5128.7,5261.5,5417.5,5539.9,5701.8,5835.2,5934.9,6022.5,6239.1,6385.1,6560,6669.6,6802.6,6913.1,7044.4,7196.9,7330.6,7484.9,7615.8,7713.7,7801.9,8037.8,8159.3,8344.6,8454.3,8578.3,8711.1,8829.9,8980.1,9114.2,9279,9416.5,9515.4,9606.1,9832.5,9984,10162,10337,10437,10527,10754,10914,11094,11219,11349,11466,11599,11760,11898,12056,12196,12296,12388,12618,12779,12971,13087,13224,13338,13480,13608,13742,13902,14035,14216,14359,14459,14551,14782,14941,15143,15260,15395,15530,15663,15824,15966,16139,16279,16382,16472,16702,16821
