u,u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,u,r,n,n,a,b,l,e,r,n,a,b
1149,1296.1,1476.3,1641.5,1814.4,1968,2458.1,2610.7,2834.7,2980.2,3079.1,3176.8,3373.6,3553.8,3778.8,3912.8,4023.5,4197.4,4331.4,4504.4,4649.8,4752.1,4847.3,5031.3,5211.3,5432.4,5568.9,5678.3,5835.5,5939.6,6117.7,6258.2,6420.1,6564.1,6670.6,6766.8,6958.5,7137,7360.3,7482.9,7588.5,7744.3,7847.6,8030.5,8168.1,8335.1,8477,8580.3,8677.3,8854.8,9032.3,9248.1,9375.1,9484.6,9638.3,9742.8,9916.1,10055,10229,10365,10464,10558,10745,10927,11135,11348,11439,11534,11726,11915,12129,12340,12420,12518,12685,12877,13092,13218,13326,13485,13588,13770,13906,14088,14539,14682,14889,15034,15137,15232,15417,15611,15823,16029,16117,16215
1195.1,1335.8,1530.6,1699.1,1867.2,2062.2,2512.8,2712.8,2909,3055.5,3157.4,3241.3,3491.2,3653.3,3837.9,3973.8,4111,4270.9,4409.4,4587.4,4723.6,4827.9,4920.4,5153.2,5305.3,5498.7,5627.8,5763.8,5891.2,6024.8,6193,6330.8,6499.7,6641.9,6748.9,6841.3,7081.5,7231.2,7431,7543.1,7679.1,7801.9,7941.3,8105.4,8243.8,8415.1,8558.1,8658.4,8749,8978.6,9129.8,9320.8,9438.9,9575.4,9697,9835.4,9991.4,10138,10302,10440,10538,10633,10862,11022,11222,11415,11518,11610,11850,12017,12215,12392,12498,12592,12811,12971,13165,13276,13421,13546,13678,13849,13986,14157,14611,14779,14976,15111,15213,15307,15544,15708,15911,16084,16196,16261
