r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1964.9,2195.2,2342.6,2451.1,2547.4,2737.4,2915.9,3136.9,3276,3384.7,3555.5,3688,3856.6,3997.7,4097.7,4191.2,4370,4547.4,4758.7,4891.2,4999.2,5170.8,5306.3,5474.8,5615.7,5710.8,5808.8,5978.6,6152.5,6375.7,6499.5,6606.9,6776.4,6909.4,7068.7,7211.7,7311.7,7408.2,7587.4,7763.4,7980.7,8099.2,8205.8,8381.1,8516.2,8678.5,8827.4,8931.6,9026.3,9204.7,9386,9604.5,9729.8,9833.8,9995.4,10097,10259,10393,10554,10693,10793,10886,11068,11250,11456,11661,11743,11842,12007,12193,12406,12530,12634,12790,12892,13063,13202,13386,13534,13634,13731,13902,14086,14308,14512,14608,14707,14906,15088,15301,15426,15534,15693,15794,15980,16118,16285,16430,16528,16625,16806,16999,17220,17363,17471,17627,17732,17899,18003,18186,18324,18495,18644,18742,18838,19020,19208,19417,19642,19739,19838,20041,20231,20469,20601,20707,20865,20971,21154,21297,21462,21623,21726,21822
2058.6,2267.1,2420.9,2526.3,2618.6,2849.2,3006.7,3206.4,3333.6,3475,3629,3775.4,3937.8,4073.4,4173.6,4262.2,4489.8,4643,4824.4,4951.2,5085.9,5241.4,5384.5,5557.5,5686.9,5788.6,5875.9,6100.5,6246.1,6437.4,6560.2,6699.5,6852.2,6983.4,7151.8,7285.3,7387,7481.3,7710.8,7859.3,8045.5,8157.6,8296.1,8459.8,8597.9,8766.6,8906.3,9008.9,9107.8,9334,9487.1,9678.3,9787.8,9926.1,10054,10182,10334,10476,10639,10769,10869,10965,11197,11350,11533,11714,11822,11912,12142,12294,12481,12591,12729,12848,12986,13142,13279,13472,13613,13713,13802,14031,14186,14394,14585,14685,14782,15033,15174,15368,15495,15628,15753,15892,16060,16194,16370,16506,16607,16696,16932,17105,17295,17424,17562,17684,17825,17958,18103,18264,18398,18585,18718,18821,18916,19146,19276,19497,19715,19820,19912,20157,20332,20545,20661,20805,20925,21063,21231,21382,21552,21701,21806,21897
