u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s
1788.6,1938.4,2152.9,2298.1,2401.2,2495.3,2674.3,2852.4,3058.1,3184.6,3292.1,3459.8,3593.2,3759.4,3900.5,3998,4092.4,4262.6,4442.7,4649.9,4771.7,4878.3,5031.2,5130.5,5296.2,5431.7,5591.1,5731.8,5828.8,5924.2,6087.3,6262.3,6461.6,6658.8,6760.4,6856.2,7043.5,7226.8,7435.9,7560.1,7665.4,7811.4,7910.1,8070
1832,2031.5,2234.9,2377.5,2473.4,2558.8,2786,2943.5,3119.8,3240.4,3383.5,3531.6,3672.5,3835.9,3971.5,4074.5,4162.1,4383.2,4535.2,4717.2,4829.8,4965.4,5087.1,5219.2,5374,5502.3,5673.2,5803.8,5904.2,5989.2,6207.4,6355.7,6541,6733,6836.2,6923,7165.5,7324.5,7505,7619,7753.5,7873.2,8001,8149.5
