r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,t,r,n,n,a,b,l,e,n,r,n,a,b
1630.9,1808.8,1951.5,2051.2,2146.4,2329.6,2506.2,2717.8,2841.8,2944.2,3104.7,3239.6,3405.2,3543.5,3645,3745.1,3918.7,4094.6,4301.8,4425.3,4531.2,4700.7,4831.5,4987.9,5124.9,5222,5322.3,5500.3,5676.6,5889.8,6009.6,6114.8,6272.8,6373.5,6548.4,6679.4,6839.9,6980.9,7079.8,7179.6,7355.4,7535.7,7743.6,7855.4,8039.1,8126.6,8228.5
1671.3,1880.5,2022.4,2124.6,2211.8,2433.7,2591.9,2778.3,2890.8,3023.3,3173.5,3305.8,3484.7,3619.9,3723.3,3809.1,4034.8,4181.9,4366.3,4477.1,4609.4,4770.5,4899.3,5065.8,5198.2,5299,5385.3,5611.1,5767.9,5955.5,6060.9,6195.2,6329.8,6454.5,6623.9,6753.2,6923.7,7057.7,7158.8,7244.4,7465.6,7624.8,7806.5,7923.9,8098.7,8210.1,8297.8
