u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s
3186.5,3322.8,3456.7,3611.8,3774.3,3922.3,4133.7,4273.4,4375.6,4469.4,4643.4,4818.7,5021.7,5142.2,5245.2,5390.2,5492.7,5645.7,5774.1,5936.8,6073.7,6165.6,6261.8,6432.7,6606.1,6810.2,6934.4,7036.2,7206.6,7338,7494.8,7630.7,7727.7,7822.7,8004.6,8185,8396.4,8519.6,8623.6,8779.4,8880.9,9045.3,9178.7,9352.2,9495.8,9599.1,9694.4,9872.2,10041,10258,10382,10485,10636,10740,10897,11003,11180
3224.4,3360.6,3507.3,3663.8,3823.7,4009.5,4207.7,4350.5,4449.2,4530.6,4760.2,4910.7,5086.1,5193,5323.1,5453.5,5580.3,5719.9,5852.6,6015.5,6144.6,6242.2,6329.5,6555.8,6699.1,6875.5,6992.2,7126.7,7281.1,7411.7,7577.1,7707.3,7803.4,7891.3,8129.8,8279.2,8462.8,8579.5,8710,8838.4,8964,9118.8,9252.1,9436.2,9575.9,9679.7,9762.7,9983.4,10129,10330,10439,10575,10694,10828,10957,11088,11253
