u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,u,r,n,n,a,b
1146.1,1322.4,1487,1651.8,1800.2,1969.5,2226.1,2373.3,2481.2,2577.5,2766.4,2947.4,3168.9,3302.8,3409.2,3582.4,3721.8,3885.8,4028.9,4128.1,4225.5,4404.7,4584.1,4795.3,4922.2,5032.4,5208.7,5341.7,5507.7,5653.4,5755,5854.2,6034.8,6218.8,6440.8,6569.4,6676.9,6836.8,6936.1,7107.2,7243.3,7402,7542.1,7645.1,7741,7936,8116.1,8346,8475.8,8581.9,8765.6,8904.9,9070.7,9212.3,9315.8,9413.4,9592.7,9779,10006,10135,10243,10398,10501,10675,10809,10980,11124,11228,11331,11511,11693,11890,12089,12180,12275,12460,12648,12881,13001,13109,13269,13373,13559,13690,13852,14001,14103,14201,14375,14563,14795,14920,15032,15192,15299,15479,15582,15764,15899,16072,16223,16326,16425,16610,16800,17027,17162,17272,17442,17548,17739,17877,18051,18196,18304,18405,18597,18783,19023,19163,19274,19451,19557,19755,19894,20081,20303,20529,20669,20895,21045,21154,21251
1191.9,1363.8,1530.8,1692.1,1862,2069,2302,2454.3,2553.2,2641.3,2880.4,3041.3,3229.1,3360.4,3498.5,3663.2,3797.8,3963.6,4105.2,4208.3,4297.7,4526.7,4681,4862.4,4984.3,5118.5,5283.4,5425,5587.2,5731.3,5833.3,5928.3,6161.1,6323.1,6507.5,6627.7,6774.7,6898.5,7034.4,7185.9,7335.8,7482.7,7623.5,7720.9,7811.9,8061.1,8215.7,8411.4,8536.7,8675.7,8843.9,8983.7,9156.4,9294.5,9396.1,9492.3,9723.7,9874.4,10077,10195,10336,10462,10594,10753,10897,11068,11205,11311,11400,11638,11798,11977,12157,12263,12352,12588,12745,12952,13068,13204,13328,13463,13635,13782,13936,14078,14183,14272,14500,14662,14865,14983,15123,15253,15389,15540,15673,15842,15983,16158,16300,16408,16506,16738,16905,17104,17226,17362,17506,17641,17817,17959,18125,18280,18385,18477,18723,18888,19097,19229,19366,19515,19648,19828,19975,20153,20349,20596,20766,20978,21118,21233,21325
