r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,s,d,x,d,x,s,r,u,r,n,n,a,b,l,e,r,n,a,b
1302.3,1573.4,1716.1,1946.5,2095.6,2199.7,2294.4,2480,2663,2888.2,3012.3,3118.5,3293.9,3426.2,3592,3727.5,3829.6,3928.6,4109.2,4284.6,4500.9,4628.4,4734,4885.5,4989,5163.1,5299.1,5460.5,5606.6,5706.8,5805.1,5979.4,6153.7,6369.7,6500.3,6602.9,6759.9,6864.3,7027.5,7159.2,7313.2,7458.9,7564.2,7658.3,7831.9,8007.7,8223.5,8347.4,8456.3,8609.9,8712.1,8875.9,8977.8,9139.1,9276.9,9452.2,9595.6,9694.7,9788.9,9968.1,10142,10383,10512,10614,10767,10868,11035,11171,11338,11477,11576,11672,11846,12027,12223,12447,12529,12627,12810,12986,13198,13319,13427,13580,13682,13856,13991,14150,14294,14394,14491,14668,14849,15068,15196,15302,15457,15558,15739,15878,16456,16584,16790,16934,17036,17132,17323,17515,17720,17954,18053,18153
1370.9,1614.5,1789.6,2020.8,2167.2,2271.1,2354.1,2585.5,2729.1,2948.9,3064.5,3198.7,3364.8,3494.4,3666.4,3800.4,3906.5,3991.2,4221.1,4377.7,4566.9,4677.6,4813.2,4932.1,5075.2,5236.5,5371.6,5548.3,5681.9,5784.5,5870.4,6089.6,6216.6,6433.3,6548.2,6679.7,6806.3,6940.2,7099.8,7226.8,7393.3,7537.4,7640.8,7721.7,7942.2,8099.6,8289.6,8408.3,8536.7,8664.6,8794.2,8927.7,9059.7,9213.1,9347.1,9536.6,9668.7,9773.3,9859.1,10078,10233,10451,10561,10694,10819,10950,11112,11242,11417,11551,11653,11739,11956,12119,12295,12501,12611,12695,12927,13080,13269,13376,13508,13632,13760,13932,14060,14237,14372,14470,14556,14782,14938,15134,15246,15382,15509,15637,15813,15949,16487,16666,16875,17011,17111,17198,17435,17600,17793,18025,18135,18219
