r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,b
1746.6,1986.6,2131.8,2235.9,2332.4,2523.5,2698.3,2915.6,3039.9,3147.6,3329.4,3462.2,3626.9,3765.9,3864.7,3962,4134.1,4310,4522.4,4652.2,4758.6,4909.2,5011.3,5171.8,5303,5455.4,5600.7,5698.5,5796,5976.3,6152.2,6364.3,6485,6588.9,6759.4,6861.8,7047.5,7177.3,7347.7,7484,7580.4,7680.4,7861.7,8037.7,8247.4,8440.9,8522,8616,8801.6,8977.8,9211.1,9346.8,9452.6,9600.5,9704.3,9874.1,10007,10168,10312,10411,10505,10680,10856,11070,11192,11294,11442,11544,11717,11850,12006,12145,12245,12341,12529,12711,12924,13134,13214,13313,13496,13680,13896,14018,14123,14273,14376,14551,14687,14858,14996,15100,15199,15378,15564,16089
1818.6,2052.4,2205.1,2310.8,2388.6,2631.5,2786.8,2971.1,3098.3,3228.5,3401.4,3530.3,3707.2,3840.3,3943.7,4025.6,4250.5,4400.4,4589.6,4707.7,4838.5,4966.7,5099.8,5244.4,5372.2,5538.7,5676.8,5772.2,5862.6,6093.7,6245.7,6430.9,6540.6,6669.5,6813.8,6946.7,7121,7244.8,7423,7556.4,7662,7745.1,7980.6,8130.3,8319.6,8489.6,8597.8,8687.5,8915.8,9073.3,9283.8,9397.8,9543.6,9666.2,9798.2,9952,10075,10252,10386,10488,10574,10801,10951,11140,11247,11376,11496,11629,11790,11925,12089,12222,12326,12411,12652,12808,13004,13181,13298,13381,13620,13778,13967,14075,14207,14329,14456,14624,14761,14941,15078,15181,15267,15502,15656,16176
