u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,w
1044.5,1215.5,1371.8,1630.8,1777.2,1989.2,2126.7,2225.1,2317.6,2508.1,2686.3,2899.1,3033.5,3141.8,3310.1,3440.9,3595.8,3731.9,3829.5,3923.9,4094.9,4269.8,4489.8,4623.3,4727.5,4886.4,5050.9,5207.5,5339.9,5436.8,5531.8,5697.9,5873,6081.7,6212.7,6314,6471.5,6570.3,6737,6861.3,7026.2,7170.2,7266.5,7357.8,7532.7,7704.4,7922.7,8043.3,8147.4,8298.2,8397,8580.2,8707.3,8878,9020.2,9120.9,9212.3,9392.5,9576.9,9776.5,9902,10006,10153,10253,10408,10509,10687,10815,10976,11116,11218,11308,11494,11674,11873,12074,12158,12254,12452,12632,12845,12966,13069,13219,13321,13484,13586,13755,13884,14044,14190,14285,14380,14560,14743,14948,15167,15256,15353,15541,15729,15950,16157,16247,16343,16530,16718
1092.5,1268.9,1459.7,1676.4,1868.7,2061.5,2199.9,2296.6,2381.9,2619.6,2775.8,2962.6,3092.3,3231,3381.5,3517,3674.4,3803.1,3901.3,3993.2,4213.4,4361.7,4554.1,4680.5,4815,4984.2,5124.6,5283.8,5413.5,5511.7,5604.6,5821.5,5964.9,6146.2,6268.3,6403.4,6530.3,6660.5,6809.6,6942.2,7109.7,7242.3,7340.6,7430.9,7656.6,7803.8,7992.6,8101.2,8237.7,8355.7,8483.7,8655.4,8795.8,8966.1,9098.1,9196.9,9297.2,9509.3,9622.8,9844.1,9961.7,10095,10212,10338,10466,10596,10764,10894,11059,11191,11293,11380,11618,11773,11959,12136,12235,12328,12569,12726,12919,13028,13168,13277,13422,13541,13677,13836,13967,14131,14264,14362,14451,14684,14838,15035,15228,15334,15421,15665,15829,16042,16223,16327,16417,16643,16760
