u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,n
1394.6,1553.3,1813.1,1962.9,2067.2,2166.2,2350.1,2533.1,2751.3,2882.1,2988.7,3164.3,3297.9,3467.7,3608.6,3715.4,3811.6,3995.1,4174.1,4405.3,4534.7,4642.2,4815.8,4946.2,5110.8,5250.6,5350.1,5444.6,5627,5800,6013.4,6142.3,6249.4,6411.8,6511.9,6691.5,6827.6,6989.1,7130.6,7233.2,7331.2,7504,7679.8,7888.6,8096.1,8185.3,8283.2,8459,8641.7,8867,8984.2,9087.8,9250.2,9350.8,9520.2,9652.4,9810.8,9949,10048,10143,10322,10497,10719,10837,10945,11096,11195,11361
1434,1627,1879.6,2035,2137.6,2228.6,2448.9,2621.3,2809.2,2931.5,3074.5,3235,3366.5,3540.5,3681.9,3786.4,3875.4,4100.1,4266,4470.1,4588.9,4730.8,4883.4,5014.1,5183.7,5321.3,5420.8,5508.6,5740.7,5887.1,6082.3,6197.9,6336.4,6461.7,6597.1,6762.6,6898.7,7072.7,7207.5,7310,7396,7616.8,7769.6,7957.1,8157.4,8265.9,8352.7,8575.6,8732.7,8928.4,9038.2,9177.6,9304,9434.7,9589.4,9723.3,9889.9,10022,10124,10207,10439,10586,10784,10895,11031,11151,11289,11432
