u,u,u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,r
1063.9,1202.2,1344.9,1500.8,1648.5,1825.9,1986.6,2260.6,2417.8,2637.5,2781.3,2885.9,2980.3,3166.8,3344.5,3573.5,3703.2,3809.1,3969.2,4073.8,4243.3,4371.5,4540.4,4682.7,4787,4882.6,5063,5246.2,5475.3,5609.7,5716.6,5877.5,5980.6,6157,6290.6,6449.9,6586.8,6685.5,6777.9,6958.3,7146.1,7370.2,7499.3,7607.2,7772.1,7877.3,8061.9,8199,8363.5,8512.7,8618.2,8715.8,9305.4
1100.6,1252,1403.5,1557.8,1711.4,1873.8,2077.8,2318.5,2502.2,2715,2859.4,2960.9,3040.8,3284.5,3440.7,3641,3766.2,3891,4026.1,4158.3,4315,4445,4624.8,4760.8,4862.3,4955.8,5182.5,5339.2,5543.4,5668.8,5807.8,5938,6077.5,6229.9,6375.9,6527.8,6657.4,6761.6,6856.3,7087.1,7235.8,7444.7,7562.4,7700.4,7832.9,7972.6,8136.6,8286.8,8446.1,8592,8697.5,8789.7,9363
