r,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,u,r,n,n,a,b,l,w
1042.2,1211.3,1631.6,1807.2,1983,2212.3,2358.6,2460.3,2554.4,2738.9,2920.2,3134.9,3265.3,3369.6,3545.1,3675.5,3847.2,3982.6,4082.2,4179.4,4354.9,4529.7,4739,4867.4,4969.8,5126.6,5226.4,5405.1,5536.6,5703.4,5848.3,5949.3,6042.5,6212.4,6389.7,6599.4,6723.1,6827.5,6976.3,7082.4,7240.5,7345.9,7526.6,7655,7816.3,7954.9,8054.9,8147.3,8327.4,8506.6,8722.2,8846.2,8951,9103.7,9206,9386.6,9516.2,9681.9,9826.6,9930.2,10021,10200,10380,10594,10721,10827,10973,11076,11233,11359,11518,11662,11768,11866,12044,12222,12429,12646,12721,12819,12993,13175,13402,13529,13633,13782,13883,14051,14154,14336,14469,14645,15079,15215,15428,15576,15675,15770,15939,16125
1091.9,1256.3,1679.4,1858.8,2069.9,2287.7,2435.4,2536,2616.6,2856.1,3014.9,3203.7,3326.1,3462.4,3619.5,3755,3927.9,4058,4159.2,4254.1,4471.2,4632.7,4807.2,4926.2,5077.1,5183.2,5319.6,5480.7,5617.2,5788.2,5924.9,6025.8,6119.6,6333.9,6486.2,6671.7,6789.4,6916.5,7045,7174.4,7308.8,7446.3,7602.9,7731.6,7895.3,8029.4,8127.5,8221.1,8451.3,8608.2,8792.8,8911.2,9045,9170,9301.7,9464.7,9598.8,9767.3,9904.3,10008,10099,10323,10484,10666,10788,10926,11039,11166,11313,11453,11609,11745,11850,11943,12163,12338,12519,12698,12806,12897,13114,13288,13475,13598,13726,13844,13976,14119,14251,14413,14555,14694,15140,15317,15519,15654,15755,15845,16063,16178
