u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t
1590.1,1769.3,1988.8,2137.3,2233.1,2327.2,2500.5,2673.4,2884.6,3014.2,3120.9,3294.2,3422.2,3578.4,3718.9,3821.4,3918.9,4092.8,4266.6,4481.5,4604.7,4707.6,4878.1,5009.1,5162.5,5300.6,5400.5,5494.4,5687.5,5865.1,6076
1622.9,1844.1,2067.2,2208.1,2306.4,2388.1,2607.3,2758.6,2949.8,3069.3,3200.6,3364.6,3491.7,3659.2,3796,3897.3,3983,4198.3,4357.5,4543.3,4660.5,4784.6,4947.1,5080.5,5244.1,5375.4,5473.9,5559.6,5788.9,5950.3,6139.6
