u,u,r,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n
1029.5,1191.8,1348.5,1620.7,1765.8,1986,2130.7,2237.8,2334.2,2518.8,2697.6,2912.8,3042.1,3148.7,3308.2,3415.7,3577.7,3710,3872
1073.9,1226.9,1427,1662.1,1839.8,2055.4,2202.5,2311.2,2394,2621.9,2784.9,2978.2,3097.3,3225.8,3364.4,3496,3649.5,3780.9,3942.4
