u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w
1632.5,1819.3,1983.9,2202.7,2346,2447.8,2539.2,2705.7,2882.9,3090.8,3219.3,3321.8,3483.3,3614.1,3781.6,3918.5,4018.2,4110.2,4283,4463.7,4671.7,4793.1,4898.4,5054.2,5152.4,5314,5446.8,5604.6,5743.3,5839.2,5932.9,6103.5,6281.3,6492.5,6620.5,6721.7,6867,6966.6,7120.3,7252,7421.6,7559.4,7653.2,7748.4,7922.2,8100,8301.4,8420.5,8525.6,8681.1,8781.1,8948.8,9082.6,9242.1,9383.1,9482.2,9573.9,9740,9916.2,10127,10250,10358,10506,10608,10781,10911,11075,11216,11313,11406,11578,11764,11975,12099,12205,12352,12453,12626,12761,12924,13066,13165,13257,13433,13610
1684.7,1870.8,2079.5,2285.1,2419.2,2520.2,2604.5,2824.7,2977.7,3161.3,3276.7,3408.5,3559.4,3697.5,3862.6,3992.9,4093.3,4189.5,4402.9,4556.6,4740.4,4853.6,4986.1,5112.1,5240.3,5390.1,5522,5688.9,5817.9,5913.2,6001.4,6226.9,6379.2,6564.5,6679.7,6811.6,6929.8,7058.2,7204.6,7326.8,7502.8,7632.3,7731.7,7823.1,8049.2,8195.8,8368.5,8488.5,8608.4,8746.8,8877,9027.7,9165.3,9323.1,9461.7,9558.5,9654.2,9861.4,10024,10200,10311,10444,10574,10697,10860,10994,11157,11288,11390,11478,11710,11862,12050,12167,12294,12416,12541,12704,12838,13003,13141,13244,13332,13558,13659
