u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b
1101.7,1252.1,1408.7,1725.6,1979.2,2128.8,2230.4,2324.3,2505.8,2682.7,2899.2,3027.3,3134.4,3308.7,3445.4,3610.8,3751.4,3853.2,3947.6,4119.6,4291.3,4501.6,4625.6,4731.6,4892.8,4992.9,5158.5,5285.2,5444.1,5577.1,5678.8,5773.5,5949.2,6133.6,6343.2,6462.7,6565.7,6748.5,6876.5,7038.4,7177.8,7277.4,7372.1,7537.1,7710.3,7919.4,8038.5,8140.9,8288.4,8388.8,8553.4,8686.5,8851.2,8986.3,9085.5,9180.1,9363.1,9541.1,9752.8,9873.7,9978.1,10124,10224,10396,10529,10687,10829,10928,11024,11196,11371,11580,11706,11808,11966,12068,12247,12378,12534,12679,12781,12878,13053,13230,13452,13695,13780,13880
1149.6,1284.6,1440.1,1793.4,2051.3,2203.8,2300.8,2385.7,2601,2748.2,2961.5,3079.3,3217,3383,3514.1,3685.9,3825.8,3927.4,4014.1,4224.3,4377.9,4566.1,4678.4,4813.2,4942.8,5070.4,5229.3,5352,5520.6,5648.8,5753.5,5841.2,6070.2,6224.6,6408.7,6512.1,6642.1,6820.2,6944.9,7115.5,7250.5,7354.9,7437.6,7652.7,7799.4,7986.2,8089,8222.8,8341.8,8469.9,8631.7,8761.8,8932,9059.5,9165.8,9248.9,9471.8,9637.1,9820,9928,10059,10171,10303,10471,10601,10772,10904,11004,11088,11305,11465,11648,11758,11894,12018,12151,12322,12442,12614,12755,12862,12942,13158,13326,13527,13752,13866,13949
