u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n
1172.3,1315.9,1610.5,1769.9,1987.7,2133,2233.1,2330.5,2514.2,2690,2910.5,3042.2,3151.6,3322.8,3460.2,3622.8,3770.9,3875.2,3972.3,4142.7,4322.7,4541.3,4669.2,4778.6,4955.1,5092.1,5247.3,5393.7,5494.8,5588.9,5771.9,5950.1,6163.9,6298.7,6407,6570.7,6671.4,6859.1,7007.9,7174,7321,7421.2,7515.6,7691.6,7875.9,8081.3,8282,8376.1,8475,8658.6,8834.3,9055.1,9174.4,9282.6,9445.1,9549.7,9719.8,9858.4,10019,10164,10261,10358,10542,10724,10948,11075,11183,11334,11435,11612,11743,11917,12062,12163,12258,12458,12643,12883,13016,13125,13272,13378,13561,13702,13872,14020,14125,14222,14396,14582,14811,14945,15053,15210,15314,15495,15631,15806
1202.8,1395.8,1659.1,1863.3,2062,2206.2,2306.8,2394.7,2628.6,2776.1,2972.6,3092.5,3238.4,3398.7,3529.2,3704.2,3847.2,3948.8,4037.1,4259.7,4416,4605.3,4727.8,4868.6,5029.4,5164.6,5332,5470.9,5570.1,5661.2,5892.2,6043.9,6234.7,6357.5,6495.4,6626.1,6754,6935.6,7085.5,7252.2,7394.3,7496.7,7581.7,7811.8,7948.2,8164.2,8352.4,8456.6,8539.2,8768.4,8927.4,9122.3,9227.7,9362.6,9500.8,9640.8,9799.9,9932.8,10102,10238,10340,10429,10667,10818,11017,11135,11274,11392,11527,11687,11823,12003,12140,12241,12331,12580,12742,12954,13079,13212,13330,13466,13638,13775,13960,14099,14206,14291,14522,14686,14884,15006,15149,15269,15403,15570,15711,15885
