u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1288.9,1443.6,1604.1,1741.4,1900.6,2036.6,2263.2,2408,2512,2607,2794.4,2970.9,3185.1,3331.2,3440.5,3605.1,3743.5,3900.8,4042.5,4140.7,4234.3,4430.3,4608.9,4823.1,4955.3,5350.8,5483.6,5632.3,5850.2,5996.4,6093.9,6193,6369.3,6542.7,6748.3,6866.8,6970.5,7128.7,7227.5,7401.1,7527.1,7685.3,7822,7920.3,8014.8,8188.2,8364.8,8571.8,8698.2,8802.1,8957.5,9057.8,9231.9,9358.8,9525.5,9667.9,9767.4,9861.3,10034,10213
1332,1494.9,1647.9,1792,1954.5,2135.9,2343.4,2485.4,2585.5,2672,2908.2,3062.3,3248.6,3387.8,3519.2,3673.6,3817,3983.9,4117.5,4214,4299.4,4552,4698.8,4885,5005.5,5403.9,5542.2,5726.8,5930.5,6068.7,6168.9,6257.9,6486,6631,6812,6921.9,7049.8,7186.2,7323.6,7472.4,7607.2,7773.5,7897.8,7997.2,8083.2,8311.6,8456.2,8638.8,8764.6,8892.9,9013.3,9151.3,9309.2,9438.1,9610.6,9742.3,9844.7,9938.2,10155,10307
