u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1582.7,1755.1,1986.3,2117.4,2213.9,2307,2483.4,2657.7,2865.9,3012,3118.4,3277.8,3414.4,3584,3717.9,3815,3910.7,4085,4259.5,4468,4591.6,4696.3,4867.1,4999.3,5156.6,5293.3,5390,5486.6,5660.8,5835.9,6038,6160.7,6262.7,6416.7,6516.8,6682.9,6817.3
1625,1840.5,2065.8,2189.7,2285.3,2367.4,2591.5,2746.8,2929,3075,3205.4,3348.9,3489.7,3664.3,3791.6,3890.4,3972.3,4204.9,4354.3,4531.7,4647.2,4782.4,4941.7,5072.2,5237.5,5367.8,5465.4,5556.1,5776.8,5929.3,6107,6217.8,6349.8,6471,6596.6,6755.9,6885.9
