u,u,u,u,r,n,n,a,b,l,e,t,d,x,t,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,t,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,t,r,n,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w,t,d,x,d,x,t
1086.1,1336.5,1524,1733.8,1921.2,2159.3,2318.9,2424.3,2523.2,2709.6,2900.4,3113.3,3256.5,3365.1,3535.2,3674.1,3854.8,3998.8,4101,4200.3,4379.2,4564.9,4783.7,4922.9,5035.8,5221.6,5366.3,5531.7,5677.2,5779.3,5883.5,6056.1,6246.3,6466.5,6596.2,6704.1,6885.9,7026.2,7199.4,7346.4,7455.9,7555.8,7741.6,7928.9,8150.7,8286.9,8397.6,8566.2,8671.2,8843.9,8979.2,9158.1,9308.1,9417.6,9517.4,9697.3,9880.6,10109,10241,10352,10515,10623,10800,10940,11125,11269,11374,11479,11654,11846,12078,12232,12348,12514,12622,12802,12944,13137,13383,13525,13757,13901,14012,14111,14291,14489,14723,14855,14969,15136,15244,15419,15562,15749,15901,16008,16115,16321,16519,16734,16955,17039,17142,17340,17524,17763,17901,18013,18180,18289,18472,18640,18827,18980,19084,19188,19385,19576,19770,19911,20023,20189,20304,20499,20646,20849,21034,21196,21434,21587,21694,21791,21986,22181,22426,22568,22683,22862,22973,23174,23316,23508,23662,23770,23870,24095,24291,24507,24657,24770,24942,25049,25230,25380,25588,25739,25845,25947,26141,26333,26560,26703,26816,26988,27098,27292
1139.1,1385.2,1579.1,1788.4,2023.4,2242.2,2395.6,2501.7,2593.3,2833.9,3001.1,3181.1,3316.8,3456.1,3608.1,3762.3,3938.9,4076.6,4182.7,4268.1,4497.5,4674.5,4849.5,4989.8,5130.4,5304.7,5453.6,5614.7,5752.9,5859.5,5957.7,6183.8,6351,6535.9,6660.1,6796.9,6968,7109.6,7286.6,7432.9,7534.2,7623.3,7868.1,8030.1,8222.2,8349.5,8492.8,8624.7,8759.4,8921.6,9055.4,9248.8,9390.6,9496.5,9591.3,9829.9,9988.3,10181,10305,10443,10582,10719,10879,11021,11206,11353,11457,11552,11787,11949,12148,12307,12440,12586,12713,12885,13026,13205,13451,13634,13847,13986,14093,14184,14424,14595,14793,14920,15063,15199,15334,15501,15646,15829,15982,16091,16191,16445,16629,16824,17001,17121,17218,17471,17629,17837,17967,18109,18250,18380,18555,18722,18911,19060,19168,19266,19511,19628,19844,19979,20114,20252,20399,20580,20728,20890,21104,21299,21525,21666,21771,21868,22110,22287,22496,22630,22775,22928,23067,23253,23398,23591,23741,23852,23950,24219,24348,24580,24724,24867,25007,25142,25313,25465,25674,25822,25928,26024,26268,26391,26635,26775,26906,27058,27193,27371
