r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x
1770.8,1962,2100.8,2198,2293.5,2461.9,2635.5,2845.3,2968,3071.7,3222.6,3321.9,3494.6,3623.8,3779.5,3912.1,4011.9,4105,4276.2,4450.7,4668.2,4789.1,4892.4,5043.5,5142.5,5320.3,5448.6,5610.9,5759.7,5861.2,5957.6,6127.6,6309,6505.3,6710.5,6792.3,6886.5,7067.5,7243.5,7446.9,7657.6,7747.3,7843.2,8020.1,8193,8407.3,8526.6,8629.2,8780,8881.5,9055.5,9189.2,9340.8,9480.1,9581.4,9678.5,9857,10037,10262,10375,10579,10799,10883,10981,11167,11353,11579,11704,11809,11954,12053,12236,12371,12534,12680,12778,12872,13054,13243,13470,13604,13710,13865,13969
1843.8,2039.8,2173.1,2275.3,2359.1,2565.6,2721.3,2902.8,3018.1,3148.1,3273.4,3396.7,3570.3,3691.8,3855.2,3987.4,4084.7,4172.8,4383.2,4543.8,4736,4844.4,4974.3,5097.7,5233.4,5391.8,5518.1,5692.8,5833,5938.1,6022.7,6246.7,6393.7,6577.1,6763.2,6870.8,6953.2,7179.5,7310.6,7518,7721.7,7827.3,7909.8,8119.7,8278.2,8473.7,8577.9,8705.8,8830.5,8957.1,9126.3,9259,9422.9,9556.8,9657.6,9744.4,9960.5,10128,10330,10449,10658,10862,10963,11047,11280,11445,11649,11759,11880,12005,12133,12308,12442,12614,12756,12855,12941,13167,13328,13540,13660,13788,13921,14045
