u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,n,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,r,n,n,a,b,l
1144.8,1298.8,1459.5,1652.3,1820.6,1982.8,2238.1,2383.6,2496.8,2591.2,2784,2967,3187.8,3322.9,3430.3,3603.8,3734.2,3914.8,4059.6,4163,4259.6,4433.5,4609.6,4824.2,4949.8,5057.9,5229.5,5365.1,5523.2,5668.6,5771.3,5865.2,6041.2,6220.1,6431.8,6565.6,6671.8,6834.5,6966.8,7124.2,7265.2,7369.4,7464.4,7651.1,7822.2,8025.3,8222.9,8313.3,8412.7,8598.8,8780.2,9004.2,9121,9224.8,9376.5,9479,9648.5,9785.9,9948.5,10089,10193,10290,10466,10642,10840,11028,11120,11217,11388,11566,11785,11909,12015,12161,12261,12429,12562,12717,12859,12958,13055,13235,13432,13622,13744,13959,14101,14200,14296,14492,14679,14926,15048,15153,15311,15413,15582,15710,15880,16040,16144,16241,16431,16618,17053,17266,17357,17457,17635,17818,18025,18240,18328,18424,18601,18790,18999,19216,19368,19464,19562,19758
1179.2,1336.1,1498.7,1697.2,1875.5,2066.2,2312.4,2463.1,2569.5,2661.3,2899.4,3060.1,3250.6,3381.2,3523.1,3674.4,3811.1,3995.4,4134.9,4239.4,4327.4,4558,4696.1,4891.2,5009.3,5142.3,5303.7,5437.5,5605.7,5742.7,5847.2,5931.1,6168.9,6315.1,6500.1,6627.3,6763.9,6912.2,7042.6,7207.8,7341.4,7441.1,7530.5,7776,7927.2,8106.4,8286.4,8396.2,8486.5,8720.6,8873.2,9071.9,9181.3,9322.9,9432,9573.2,9728.4,9860.8,10030,10171,10270,10360,10587,10710,10917,11096,11199,11284,11512,11661,11855,11966,12108,12214,12350,12499,12636,12800,12935,13038,13125,13323,13463,13681,13833,14040,14178,14282,14366,14611,14744,14995,15101,15247,15371,15493,15654,15785,15967,16121,16222,16309,16549,16713,17141,17331,17441,17523,17750,17877,18115,18304,18406,18494,18724,18878,19075,19309,19444,19546,19634,19875
