u,u,u,r,n,n,a,b,l,e,t,d,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x
1462.5,1626.2,1807.4,1983.8,2220.9,2368.4,2473.1,2562.9,2746.6,2923.6,3132,3261.2,3511.1,3644.3,3837.4,3971.9,4073.1,4165.3,4342.7,4514,4718.6,4842.4,4942.9,5108.1,5235.5,5395.6,5533.7,5628.8,5723.1,5899.3,6069.3,6273.3,6392.8,6496.3
1501.9,1672.5,1860.6,2075.9,2305.2,2442.3,2544,2626.9,2861.1,3011.6,3192.2,3313.7,3564.3,3737.2,3917.7,4052.1,4149.1,4234.9,4460.6,4599.4,4785.2,4899.8,5033.5,5181.2,5313.1,5476.3,5609.8,5703,5789.7,6018.1,6159.6,6340.3,6443.3,6580.8
