u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b
1231.3,1391.4,1784.5,1981.9,2271.2,2420.1,2642.8,2789,2892,2986,3155.8,3336.9,3546.3,3673.7,3778.9,3952.5,4079.9,4247.4,4389.3,4489.1,4582.3,4751.1,4929,5134.5,5257.3,5359.9,5531.2,5631.5,5800.1,5927.5,6083.4,6227.7,6328.2,6424,6588.4,6765.6,6986.2,7109.8,7212.8,7363.2,7465.5,7632.8,7755.1,7922.8,8062.2,8158.9,8254.7,8423.9,8602.4,8810.3,8931.8,9036.1,9191.4,9294.6,9448.2,9549.1,9711,9834.1,9993.4,10138,10235,10328,10499,10678,10885,11088,11173,11269,11434,11613,11830,11949,12054,12198,12301,12477,12607,12773,12916,13013,13110,13283,13459,13675,13892,13977,14068
1274.7,1432,1834.9,2036.7,2325.8,2513.5,2723.6,2864.6,2967.2,3051.9,3278.1,3429.6,3613.8,3733.1,3871.3,4025.5,4168.4,4327.1,4462.5,4565.1,4654.7,4876.1,5027.7,5200,5318.9,5456,5594.2,5718.1,5874.2,6015.8,6170.6,6305.5,6404.2,6504.1,6714.3,6859.2,7054.2,7178,7302.5,7429,7556.9,7708.9,7836.1,8011,8137.3,8235.6,8332.6,8553.8,8694.9,8881.1,8990.1,9132.6,9256.7,9386.5,9513.7,9644.1,9785.9,9919.9,10078,10212,10313,10409,10622,10788,10973,11150,11254,11352,11561,11712,11901,12015,12145,12262,12398,12553,12687,12860,12991,13097,13196,13403,13565,13764,13942,14052,14146
