u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l
1151.4,1564.2,1719.2,1955.9,2099.9,2201.8,2303.5,2503.3,2683.8,2879.4,3012.9,3122.3,3291.3,3435.6,3607,3751.6,3855.2,3952,4138.1,4312.1,4533.5,4667.8,4778.7,4939.2,5041.7,5213.7,5343.2,5509.2,5659.4,5757.6,5855.6,6035.9,6214,6427.7,6566,6675.6,6839.7,6942.5,7122.7,7255.9,7413.6,7553,7653.1,7753.1,7928.5,8108.6,8325.1,8534.1,8614,8712.2,8894.6,9073.8,9287.8,9486.4,9593.3,9691.3,9862.8,10042,10258,10379,10486,10641,10743,10914,11045,11202,11340,11439,11537,11718,11897,12122,12247,12355,12506,12609,12785,12924,13097,13242,13341,13438,13621,13801,14013,14246,14327,14431,14615
1186.6,1597.2,1791.4,2029.1,2171.2,2278.2,2362.6,2598.3,2737.9,2941.8,3061.3,3205.6,3365.4,3504.2,3680.9,3827,3930.2,4015.1,4243.8,4405.1,4597.1,4721.4,4857.9,4987.8,5122.3,5284.6,5413.4,5583.9,5730.3,5829.7,5922.5,6147.5,6302.8,6493.3,6617.4,6760.8,6890.2,7024.6,7188.8,7327.5,7494.4,7630.5,7730.1,7818.3,8041.6,8200.2,8392.8,8583.6,8691.7,8777.5,9008.5,9161.9,9364.9,9564.5,9665.8,9758.1,9976.9,10126,10320,10432,10568,10691,10820,10987,11115,11280,11414,11517,11602,11841,11993,12191,12300,12438,12560,12690,12862,12994,13183,13316,13419,13505,13741,13875,14084,14299,14409,14499,14728
