u,u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,n,x,d,x,s,r,n,n,a,b
1121.5,1293.8,1436.7,1582.8,1788.8,1968.3,2256.2,2405.3,2647.2,2790,2892,2987.7,3168.3,3349.1,3571,3698.6,3806.3,3970.4,4074,4239.2,4372.1,4534.2,4672.7,4776.1,4868.8,5046.4,5222.3,5437,5565.7,5674.3,5831.1,5937.1,6108.5,6240.5,6411.8,6554.2,6652.2,6746,6932.7,7112.4,7330.7,7455.8,7561.8,7716.7,7819.2,7981.2,8112.5,8267.1,8410.3,8512.6,8609.1,8783.4,8963.2,9180.1,9296.4,9400.4,9545.6,9645.3,9826.8,9961.2,10124,10263,10368,10460,10638,10821,11041,11166,11273,11431,11534,11703,11841,12003,12148,12253,12346,12542,12722,12940,13070,13180,13341,13447,13623,13762,13929,14071,14170,14266
1152,1340.1,1491.6,1640.7,1832.3,2055.1,2304.5,2497.6,2725.2,2859.4,2966.7,3057,3286.7,3419.9,3637,3759.6,3889.1,4027.8,4163.4,4309.9,4446.9,4614.8,4748,4850.7,4939.4,5167.1,5315,5505.8,5620.7,5765.7,5891.9,6024.2,6181.3,6323.4,6490.4,6628.8,6727.9,6816.6,7059.6,7205.7,7397.2,7517.9,7652.3,7772.7,7915,8057,8189.7,8350.9,8487.7,8592.1,8683.4,8907.2,9022.5,9247.1,9356.3,9485.2,9601.7,9736.8,9903,10036,10201,10341,10444,10531,10762,10908,11110,11226,11367,11492,11628,11784,11917,12089,12229,12328,12422,12667,12817,13009,13131,13274,13400,13539,13701,13841,14009,14145,14245,14335
